 TIME                                   ,T_1                                     ,T_2                                     ,T_3                                     ,
  +1.3500000000000000E+02,  +6.2525449346112950E+01,  +5.9411036799330198E+01,  +5.6056425147776103E+01,
  +1.3600000000000000E+02,  +6.3034149898565907E+01,  +6.0403404608339407E+01,  +5.7162485093662468E+01,
  +1.3700000000000000E+02,  +6.3268195303040514E+01,  +6.0876152652715291E+01,  +5.7669385428362474E+01,
  +1.3800000000000000E+02,  +6.3360718665312284E+01,  +6.1066567716567633E+01,  +5.7870756932247808E+01,
  +1.3900000000000000E+02,  +6.1891844230514415E+01,  +5.9211203933338275E+01,  +5.5775236959161482E+01,
  +1.4000000000000000E+02,  +6.1583861560987849E+01,  +5.8341653777763682E+01,  +5.4929109520996732E+01,
  +1.4100000000000000E+02,  +6.2291264903302505E+01,  +5.9170644334575847E+01,  +5.5854776008153074E+01,
  +1.4200000000000000E+02,  +6.3127617423557908E+01,  +6.0538055977844138E+01,  +5.7358629545434134E+01,
  +1.4300000000000000E+02,  +6.3788348890337410E+01,  +6.1770742073404904E+01,  +5.8779898242256131E+01,
  +1.4400000000000000E+02,  +6.4139377187897580E+01,  +6.2545534827868991E+01,  +5.9739452022857819E+01,
  +1.4500000000000000E+02,  +6.4319131412841415E+01,  +6.2957219429840322E+01,  +6.0236419363843645E+01,
  +1.4600000000000000E+02,  +6.4428934593589830E+01,  +6.3213722334796735E+01,  +6.0574524966778775E+01,
  +1.4700000000000000E+02,  +6.3981465937264623E+01,  +6.2366798162232818E+01,  +5.9183489383171789E+01,
  +1.4800000000000000E+02,  +6.3823496505979747E+01,  +6.1934842197829425E+01,  +5.8727980570444110E+01,
  +1.4900000000000000E+02,  +6.3906966002282829E+01,  +6.2076898826312906E+01,  +5.9042437311727760E+01,
  +1.5000000000000000E+02,  +6.2169694463221539E+01,  +5.9682427018187433E+01,  +5.6217351520091391E+01,
  +1.5100000000000000E+02,  +5.8959919944835590E+01,  +5.5787691173594730E+01,  +5.2236335785000648E+01,
  +1.5200000000000000E+02,  +5.5640948418151488E+01,  +5.2296927956408950E+01,  +4.8925392126266679E+01,
  +1.5300000000000000E+02,  +5.2792011033344608E+01,  +4.9452467342386988E+01,  +4.6121263180111605E+01,
  +1.5400000000000000E+02,  +5.0217143014297044E+01,  +4.6889985689084398E+01,  +4.3557976113018505E+01,
  +1.5500000000000000E+02,  +5.4873914792509765E+01,  +4.9003844593315073E+01,  +4.5357787359150045E+01,
  +1.5600000000000000E+02,  +5.5421061835821178E+01,  +4.9442122347095619E+01,  +4.6427925323274025E+01,
  +1.5700000000000000E+02,  +5.7338913378096926E+01,  +5.1712009836153996E+01,  +4.8409904854937551E+01,
  +1.5800000000000000E+02,  +5.7363405221080093E+01,  +5.2178043317269470E+01,  +4.8985515868498553E+01,
  +1.5900000000000000E+02,  +5.3995558133066943E+01,  +4.9949827453737534E+01,  +4.7102648427321299E+01,
  +1.6000000000000000E+02,  +5.0962110896945987E+01,  +4.7508115581759547E+01,  +4.4409819178569720E+01,
  +1.6100000000000000E+02,  +5.5049918181724529E+01,  +4.9329867530509354E+01,  +4.5810999161191390E+01,
  +1.6200000000000000E+02,  +5.4538570802310545E+01,  +4.9093803201246168E+01,  +4.6174823468461121E+01,
  +1.6300000000000000E+02,  +4.9941896316906664E+01,  +4.6166608014885824E+01,  +4.3385524748617492E+01,
  +1.6400000000000000E+02,  +5.4015870634190037E+01,  +4.7999759553183260E+01,  +4.4564515160153142E+01,
  +1.6500000000000000E+02,  +5.3590868343017519E+01,  +4.7884231654658912E+01,  +4.5044131209736513E+01,
  +1.6600000000000000E+02,  +5.6466124989995521E+01,  +5.0558505537924454E+01,  +4.7127853917378282E+01,
  +1.6700000000000000E+02,  +6.1072837145540049E+01,  +5.5851574050230347E+01,  +5.1785047670452876E+01,
  +1.6800000000000000E+02,  +6.2857096630304099E+01,  +5.9445407707046911E+01,  +5.5789557539756423E+01,
  +1.6900000000000000E+02,  +6.3722807903451624E+01,  +6.1464968241372965E+01,  +5.8344760091960055E+01,
  +1.7000000000000000E+02,  +6.4192095754519585E+01,  +6.2609282052976994E+01,  +5.9857608494894315E+01,
  +1.7100000000000000E+02,  +6.4445653791565420E+01,  +6.3246470399775383E+01,  +6.0716997140611632E+01,
  +1.7200000000000000E+02,  +6.4030975726642907E+01,  +6.2474812499391021E+01,  +5.9351338486810121E+01,
  +1.7300000000000000E+02,  +6.2410151456289562E+01,  +5.9901189243530894E+01,  +5.6194760813781564E+01,
  +1.7400000000000000E+02,  +5.9521861668143274E+01,  +5.6353511657287136E+01,  +5.2797423882186393E+01,
  +1.7500000000000000E+02,  +5.6059780847828733E+01,  +5.2717458981471971E+01,  +4.9345736156351414E+01,
  +1.7600000000000000E+02,  +5.2915705464231877E+01,  +4.9577256095220882E+01,  +4.6247943930377765E+01,
  +1.7700000000000000E+02,  +5.6290080683625376E+01,  +5.0982988772125324E+01,  +4.7442742472375066E+01,
  +1.7800000000000000E+02,  +5.6222636729912999E+01,  +5.0941281170196099E+01,  +4.7902819087159941E+01,
  +1.7900000000000000E+02,  +5.2678218353963395E+01,  +4.8698864447337897E+01,  +4.5924925933731288E+01,
  +1.8000000000000000E+02,  +5.6295126908664926E+01,  +5.0841316833165088E+01,  +4.7345320130107702E+01,
  +1.8100000000000000E+02,  +6.0444487377579172E+01,  +5.5228650118147648E+01,  +5.1438809338311970E+01,
  +1.8200000000000000E+02,  +6.1952289075140676E+01,  +5.8157689352967395E+01,  +5.4606604469267296E+01,
  +1.8300000000000000E+02,  +6.2766188333842706E+01,  +5.9817654883394880E+01,  +5.6499722489616467E+01,
  +1.8400000000000000E+02,  +6.3210280488245466E+01,  +6.0720926777406440E+01,  +5.7507239845082964E+01,
  +1.8500000000000000E+02,  +6.3426087333718613E+01,  +6.1164147881511397E+01,  +5.7995771835203783E+01,
  +1.8600000000000000E+02,  +6.3455479501002685E+01,  +6.1244302412316642E+01,  +5.8061905838309464E+01,
  +1.8700000000000000E+02,  +6.3411928371620689E+01,  +6.1173482558171209E+01,  +5.7972439251592867E+01,
  +1.8800000000000000E+02,  +6.3310106710113878E+01,  +6.0998877103661727E+01,  +5.7772103933169113E+01,
  +1.8900000000000000E+02,  +6.3269126004763613E+01,  +6.0919752496940283E+01,  +5.7691998446608373E+01,
  +1.9000000000000000E+02,  +6.3640554837763183E+01,  +6.1555283045662165E+01,  +5.8498100756735099E+01,
  +1.9100000000000000E+02,  +6.3244779461486317E+01,  +6.1030731641018583E+01,  +5.7746046993933241E+01,
  +1.9200000000000000E+02,  +6.3412071058821581E+01,  +6.1209231973476008E+01,  +5.8041256459541579E+01,
  +1.9300000000000000E+02,  +6.3240236947550869E+01,  +6.0956957389834770E+01,  +5.7717441711919847E+01,
  +1.9400000000000000E+02,  +6.3399099421595956E+01,  +6.1172569618529842E+01,  +5.8014194070695083E+01,
  +1.9500000000000000E+02,  +6.4013970524271173E+01,  +6.2249190925177487E+01,  +5.9399508062669959E+01,
  +1.9600000000000000E+02,  +6.3575513978415579E+01,  +6.1624539708903093E+01,  +5.8388145347279789E+01,
  +1.9700000000000000E+02,  +6.3421901748786631E+01,  +6.1220658159457521E+01,  +5.7950452816909959E+01,
  +1.9800000000000000E+02,  +6.2048767638740763E+01,  +5.9425189924634154E+01,  +5.6014797573234908E+01,
  +1.9900000000000000E+02,  +5.9081376104471545E+01,  +5.5926799654821302E+01,  +5.2404941110874034E+01,
  +2.0000000000000000E+02,  +5.6211438965150037E+01,  +5.2886568512635321E+01,  +4.9498228496873978E+01,
  +2.0100000000000000E+02,  +5.3493690450185809E+01,  +5.0156799814798390E+01,  +4.6815354040084920E+01,
  +2.0200000000000000E+02,  +5.0978763653342362E+01,  +4.7649982244295472E+01,  +4.4316118597953071E+01,
  +2.0300000000000000E+02,  +5.5528835935185313E+01,  +4.9842640790966982E+01,  +4.6146417275835113E+01,
  +2.0400000000000000E+02,  +6.0239642560912401E+01,  +5.4683561032043329E+01,  +5.0768830681065538E+01,
  +2.0500000000000000E+02,  +6.2047469048677655E+01,  +5.8148082061498407E+01,  +5.4500388093309390E+01,
  +2.0600000000000000E+02,  +6.2977947446038932E+01,  +6.0109325342881881E+01,  +5.6786766234429763E+01,
  +2.0700000000000000E+02,  +6.3548952291946563E+01,  +6.1304633958155826E+01,  +5.8196212766889992E+01,
  +2.0800000000000000E+02,  +6.3872996955952821E+01,  +6.1993398574290254E+01,  +5.9001170796131994E+01,
  +2.0900000000000000E+02,  +6.3126384718357144E+01,  +6.0924701491393400E+01,  +5.7567030339459258E+01,
  +2.1000000000000000E+02,  +6.2951396167284706E+01,  +6.0424551861782106E+01,  +5.7076060218395618E+01,
  +2.1100000000000000E+02,  +6.3355420775927627E+01,  +6.1010034213929927E+01,  +5.7839363541313794E+01,
  +2.1200000000000000E+02,  +6.3546223399818075E+01,  +6.1391664589954452E+01,  +5.8255060065806212E+01,
  +2.1300000000000000E+02,  +6.3699184192292961E+01,  +6.1683506315853819E+01,  +5.8591136129327360E+01,
  +2.1400000000000000E+02,  +6.4031655417292981E+01,  +6.2332061333412298E+01,  +5.9465350859235635E+01,
  +2.1500000000000000E+02,  +6.4373059438722436E+01,  +6.3076532248873278E+01,  +6.0508344711442540E+01,
  +2.1600000000000000E+02,  +6.4583099942952643E+01,  +6.3602071291442243E+01,  +6.1274103130506283E+01,
  +2.1700000000000000E+02,  +6.4416769298020498E+01,  +6.3244359399285202E+01,  +6.0424147974561102E+01,
  +2.1800000000000000E+02,  +6.3864843469519286E+01,  +6.2102506836090591E+01,  +5.8557132104810940E+01,
  +2.1900000000000000E+02,  +6.3030336085586484E+01,  +6.0676902537258762E+01,  +5.6915388108748338E+01,
  +2.2000000000000000E+02,  +6.1839999528440714E+01,  +5.9009593642735602E+01,  +5.5294508853282260E+01,
  +2.2100000000000000E+02,  +6.0037688728367449E+01,  +5.6883280334665614E+01,  +5.3332990722835781E+01,
  +2.2200000000000000E+02,  +5.7253880996438106E+01,  +5.3944943528163137E+01,  +5.0543930791706352E+01,
  +2.2300000000000000E+02,  +5.8739448157286951E+01,  +5.4345125392428820E+01,  +5.0905579635687531E+01,
  +2.2400000000000000E+02,  +5.8193830905587177E+01,  +5.3819880265475931E+01,  +5.0653496177271180E+01,
  +2.2500000000000000E+02,  +5.5221845780619475E+01,  +5.1533353288901289E+01,  +4.8507008984769477E+01,
  +2.2600000000000000E+02,  +5.7934023251908847E+01,  +5.3128899740024991E+01,  +4.9657004326430751E+01,
  +2.2700000000000000E+02,  +6.1279459672882403E+01,  +5.6791552386825401E+01,  +5.3139646885328851E+01,
  +2.2800000000000000E+02,  +6.2662497751548003E+01,  +5.9418925740745706E+01,  +5.5981423264792994E+01,
  +2.2900000000000000E+02,  +6.3445395805116078E+01,  +6.1037814989584803E+01,  +5.7880204784367393E+01,
  +2.3000000000000000E+02,  +6.3859954435816256E+01,  +6.1943110383925209E+01,  +5.8952660745855823E+01,
  +2.3100000000000000E+02,  +6.4105967895464971E+01,  +6.2486339004173097E+01,  +5.9622313365786404E+01,
