 TIME                                   ,T_R                                     ,
  +1.0900000000000000E+02,  +5.2158881636512838E+01,
  +1.1000000000000000E+02,  +5.3073034196319753E+01,
  +1.1100000000000000E+02,  +5.3547324913095458E+01,
  +1.1200000000000000E+02,  +5.3785760685560511E+01,
  +1.1300000000000000E+02,  +5.3901074061578917E+01,
  +1.1400000000000000E+02,  +5.3761370352142485E+01,
  +1.1500000000000000E+02,  +5.3539350535380059E+01,
  +1.1600000000000000E+02,  +5.3417594628919133E+01,
  +1.1700000000000000E+02,  +5.3408081562664357E+01,
  +1.1800000000000000E+02,  +5.3751378156092777E+01,
  +1.1900000000000000E+02,  +5.4108908123113068E+01,
  +1.2000000000000000E+02,  +5.4310186233395854E+01,
  +1.2100000000000000E+02,  +5.3870529570461635E+01,
  +1.2200000000000000E+02,  +5.3833895987217794E+01,
  +1.2300000000000000E+02,  +5.4194314357058303E+01,
  +1.2400000000000000E+02,  +5.4288782077976506E+01,
  +1.2500000000000000E+02,  +5.3308196077343673E+01,
  +1.2600000000000000E+02,  +5.2563901308243082E+01,
  +1.2700000000000000E+02,  +5.0664305037602205E+01,
  +1.2800000000000000E+02,  +4.7574208989015396E+01,
  +1.2900000000000000E+02,  +4.4578564310960495E+01,
  +1.3000000000000000E+02,  +4.1700919954897437E+01,
  +1.3100000000000000E+02,  +3.9019094886836598E+01,
  +1.3200000000000000E+02,  +4.4148481133240793E+01,
  +1.3300000000000000E+02,  +4.9274403974571214E+01,
  +1.3400000000000000E+02,  +5.1247019754552134E+01,
  +1.3500000000000000E+02,  +5.2242379219557492E+01,
  +1.3600000000000000E+02,  +5.2864469608922469E+01,
  +1.3700000000000000E+02,  +5.3165693884264286E+01,
  +1.3800000000000000E+02,  +5.3297797534730577E+01,
  +1.3900000000000000E+02,  +5.3314578829622697E+01,
  +1.4000000000000000E+02,  +5.3223762140025983E+01,
  +1.4100000000000000E+02,  +5.3191307045717622E+01,
  +1.4200000000000000E+02,  +5.2414010743314876E+01,
  +1.4300000000000000E+02,  +5.0854009991116115E+01,
  +1.4400000000000000E+02,  +5.1774978851752309E+01,
  +1.4500000000000000E+02,  +5.3235964588809111E+01,
  +1.4600000000000000E+02,  +5.3845863676051593E+01,
  +1.4700000000000000E+02,  +5.4168590175710293E+01,
  +1.4800000000000000E+02,  +5.4290463423851961E+01,
  +1.4900000000000000E+02,  +5.3385079018369382E+01,
  +1.5000000000000000E+02,  +5.0658227134639198E+01,
  +1.5100000000000000E+02,  +4.7146475165247004E+01,
  +1.5200000000000000E+02,  +4.3762375398914536E+01,
  +1.5300000000000000E+02,  +4.0918592629742612E+01,
  +1.5400000000000000E+02,  +4.5307412930932230E+01,
  +1.5500000000000000E+02,  +4.5605959988972778E+01,
  +1.5600000000000000E+02,  +4.1974014024740782E+01,
  +1.5700000000000000E+02,  +4.5786479907848275E+01,
  +1.5800000000000000E+02,  +4.6303644485341898E+01,
  +1.5900000000000000E+02,  +4.2701605043548462E+01,
  +1.6000000000000000E+02,  +3.9591252184513010E+01,
  +1.6100000000000000E+02,  +4.4221187875275533E+01,
  +1.6200000000000000E+02,  +4.3830088284989060E+01,
  +1.6300000000000000E+02,  +4.5650315012060176E+01,
  +1.6400000000000000E+02,  +4.4656796657008293E+01,
  +1.6500000000000000E+02,  +4.0450843138799470E+01,
  +1.6600000000000000E+02,  +4.5196085116643474E+01,
  +1.6700000000000000E+02,  +5.0624414969216375E+01,
  +1.6800000000000000E+02,  +5.2636646190952185E+01,
  +1.6900000000000000E+02,  +5.3607009911801015E+01,
  +1.7000000000000000E+02,  +5.4130668792927551E+01,
  +1.7100000000000000E+02,  +5.3863673250811424E+01,
  +1.7200000000000000E+02,  +5.2771306122917146E+01,
  +1.7300000000000000E+02,  +5.0716749465277069E+01,
  +1.7400000000000000E+02,  +4.7584542987694569E+01,
  +1.7500000000000000E+02,  +4.4073364104498992E+01,
  +1.7600000000000000E+02,  +4.0936222039727689E+01,
  +1.7700000000000000E+02,  +4.5107434708329492E+01,
  +1.7800000000000000E+02,  +4.5243320258973213E+01,
  +1.7900000000000000E+02,  +4.7215395189411787E+01,
