time;electricity;PV;temp;heat_water;heat_space
2020-04-02 00:00:00;0.193136578;0;-0.684;0.028804782;2.047993856
2020-04-02 01:00:00;0.341694634;0;-0.957;0.036005977;2.111993664
2020-04-02 02:00:00;0.134064155;0;-0.62;0.028804782;2.191993424
2020-04-02 03:00:00;0.29202422;0;-0.187;0.052808766;2.351992944
2020-04-02 04:00:00;0.050776537;0;0.065;0.127221119;2.767991696
2020-04-02 05:00:00;0.286197046;0;-0.224;0.400866544;3.695988912
2020-04-02 06:00:00;0.462878095;0;-0.536;0.626504;4.607986176
2020-04-02 07:00:00;0.632281731;0;-0.704;0.540089655;4.351986944
2020-04-02 08:00:00;0.656250924;0.079;0.042;0.408067739;4.23998728
2020-04-02 09:00:00;0.599677708;0.264;2.137;0.39126495;4.015987952
2020-04-02 10:00:00;0.619281383;0.57;5.306;0.355258973;3.823988528
2020-04-02 11:00:00;0.777049115;0.708;6.973;0.36005977;3.647989056
2020-04-02 12:00:00;0.708383663;0.797;8.098;0.348057778;3.583989248
2020-04-02 13:00:00;0.780183919;0.838;8.978;0.280846621;3.663989008
2020-04-02 14:00:00;0.564020071;0.806;9.592;0.268844628;3.775988672
2020-04-02 15:00:00;0.567537302;0.662;9.799;0.240039847;3.935988192
2020-04-02 16:00:00;0.413571181;0.446;9.628;0.280846621;4.111987664
2020-04-02 17:00:00;0.530890766;0.263;9.191;0.331254988;4.23998728
2020-04-02 18:00:00;0.597192331;0.128;8.467;0.321653394;4.31998704
2020-04-02 19:00:00;0.783748077;0.016;6.806;0.338456184;4.303987088
2020-04-02 20:00:00;0.675086052;0;5.166;0.350458176;4.07998776
2020-04-02 21:00:00;0.694938882;0;4.637;0.300049808;3.631989104
2020-04-02 22:00:00;0.492775056;0;4.383;0.175229088;2.63999208
2020-04-02 23:00:00;0.478130375;0;4.205;0.072011954;2.143993568
2020-04-03 00:00:00;0.365892062;0;4.202;0.028804782;1.711994864
2020-04-03 01:00:00;0.363067016;0;4.355;0.036005977;1.791994624
2020-04-03 02:00:00;0.2136762;0;4.493;0.028804782;1.871994384
2020-04-03 03:00:00;0.276429353;0;4.635;0.052808766;2.063993808
2020-04-03 04:00:00;0.362145329;0;4.712;0.127221119;2.527992416
2020-04-03 05:00:00;0.143409164;0;4.77;0.400866544;3.407989776
2020-04-03 06:00:00;0.646351128;0;4.75;0.626504;4.223987328
2020-04-03 07:00:00;0.551008009;0;4.728;0.540089655;3.999988
2020-04-03 08:00:00;0.647714101;0.012;4.964;0.408067739;3.823988528
2020-04-03 09:00:00;0.829338963;0.064;5.481;0.39126495;3.567989296
2020-04-03 10:00:00;0.592926804;0.275;6.703;0.355258973;3.35998992
2020-04-03 11:00:00;0.723179325;0.636;8.643;0.36005977;3.183990448
2020-04-03 12:00:00;0.722665232;0.7;9.793;0.348057778;3.135990592
2020-04-03 13:00:00;0.862160022;0.717;10.409;0.280846621;3.215990352
2020-04-03 14:00:00;0.735953237;0.713;10.786;0.268844628;3.327990016
2020-04-03 15:00:00;0.674680144;0.632;10.821;0.240039847;3.503989488
2020-04-03 16:00:00;0.514486617;0.53;10.606;0.280846621;3.647989056
2020-04-03 17:00:00;0.551492422;0.373;9.958;0.331254988;3.807988576
2020-04-03 18:00:00;0.681745709;0.146;8.825;0.321653394;3.91998824
2020-04-03 19:00:00;0.664074123;0.025;6.873;0.338456184;3.903988288
2020-04-03 20:00:00;0.88543147;0;3.889;0.350458176;3.711988864
2020-04-03 21:00:00;0.647683011;0;2.743;0.300049808;3.263990208
2020-04-03 22:00:00;0.360093171;0;2.244;0.175229088;2.31999304
2020-04-03 23:00:00;0.577399354;0;2.2;0.072011954;1.823994528
2020-04-04 00:00:00;0.158764037;0;2.102;0.028804782;1.487995536
2020-04-04 01:00:00;0.324960148;0;1.825;0.036005977;1.567995296
2020-04-04 02:00:00;0;0;1.451;0.028804782;1.647995056
2020-04-04 03:00:00;0.175530396;0;0.953;0.052808766;1.855994432
2020-04-04 04:00:00;0.219114391;0;0.46;0.127221119;2.335992992
2020-04-04 05:00:00;0.159130011;0;-0.03;0.400866544;3.151990544
2020-04-04 06:00:00;0.401676757;0;-0.572;0.626504;3.871988384
2020-04-04 07:00:00;0.532102837;0.003;-0.359;0.540089655;3.67998896
2020-04-04 08:00:00;0.653898703;0.164;3.056;0.408067739;3.487989536
2020-04-04 09:00:00;0.586620115;0.388;5.527;0.39126495;3.1999904
2020-04-04 10:00:00;0.732998825;0.594;8.572;0.355258973;2.991991024
2020-04-04 11:00:00;0.726451738;0.745;10.537;0.36005977;2.815991552
2020-04-04 12:00:00;0.638539166;0.83;11.864;0.348057778;2.783991648
2020-04-04 13:00:00;0.780852273;0.859;12.877;0.280846621;2.863991408
2020-04-04 14:00:00;0.717311699;0.835;13.651;0.268844628;2.975991072
2020-04-04 15:00:00;0.804279603;0.762;14.127;0.240039847;3.151990544
2020-04-04 16:00:00;0.829473498;0.637;14.261;0.280846621;3.295990112
2020-04-04 17:00:00;0.771449019;0.457;14.008;0.331254988;3.455989632
2020-04-04 18:00:00;0.865443189;0.237;13.179;0.321653394;3.583989248
2020-04-04 19:00:00;1.006859763;0.038;10.221;0.338456184;3.583989248
2020-04-04 20:00:00;0.662705575;0;7.256;0.350458176;3.391989824
2020-04-04 21:00:00;0.775877931;0;6.213;0.300049808;2.975991072
2020-04-04 22:00:00;0.738012705;0;5.515;0.175229088;2.07999376
2020-04-04 23:00:00;0.87470653;0;4.918;0.072011954;1.5999952
2020-04-05 00:00:00;0.41811696;0;4.389;0.028804782;1.135996592
2020-04-05 01:00:00;0.244805621;0;3.922;0.036005977;1.1999964
2020-04-05 02:00:00;0.288945319;0;3.555;0.028804782;1.263996208
2020-04-05 03:00:00;0.293106634;0;3.307;0.052808766;1.423995728
2020-04-05 04:00:00;0.186083142;0;3.148;0.127221119;1.807994576
2020-04-05 05:00:00;0.102547166;0;3.034;0.400866544;2.415992752
2020-04-05 06:00:00;0.086965613;0;2.932;0.626504;2.927991216
2020-04-05 07:00:00;0.217801321;0.003;3.301;0.540089655;2.815991552
2020-04-05 08:00:00;0.447636162;0.181;5.224;0.408067739;2.671991984
