hs_Schicht1
59.885
62.173
60.730
62.612
61.111
62.524
60.048
57.620
55.195
52.850
50.600
48.440
56.228
59.768
56.854
60.169
61.773
62.638
60.248
57.817
55.465
53.365
59.037
61.789
60.353
58.920
61.767
63.101
63.724
61.965
59.428
56.885
54.321
51.840
49.451
47.162
44.914
54.330
50.685
56.880
59.805
61.367
58.400
55.618
59.531
61.550
62.893
63.713
64.181
63.371
64.003
64.316
63.312
61.562
59.043
56.518
53.981
51.530
49.173
46.918
44.704
54.255
50.635
47.557
44.746
53.944
58.153
60.411
61.793
62.751
61.229
62.910
61.983
60.974
59.884
62.309
60.946
59.053
56.629
54.310
52.037
49.879
47.821
45.858
43.929
54.124
50.801
47.966
55.796
59.404
61.292
62.390
63.107
61.380
60.063
58.964
58.072
57.127
56.133
55.031
53.676
51.845
49.573
47.421
55.771
52.885
50.553
48.566
46.737
44.936
43.114
53.798
58.576
60.963
62.274
63.062
63.583
63.977
63.146
62.408
61.757
61.028
60.226
59.290
58.079
56.412
54.342
52.366
50.489
48.766
47.155
45.639
44.140
54.613
59.290
56.735
60.372
62.134
60.109
62.085
60.305
58.727
57.618
56.762
56.152
55.508
54.829
54.064
53.092
51.794
50.220
48.706
47.268
45.959
44.736
55.248
59.967
58.189
56.524
54.903
53.343
51.795
50.242
48.724
47.304
46.065
45.200
44.544
