 TIME                                   ,T_1                                     ,T_2                                     ,T_3                                     ,
 HOURS              ,"°C                 ,°C                  ,°C"                 ,
  +2.1670000000000000E+03,  +5.1343368541994487E+01,  +4.8699304255152484E+01,  +4.8039894931706527E+01,
  +2.1680000000000000E+03,  +5.5971502818914395E+01,  +5.1711365924041601E+01,  +4.9707156234864811E+01,
  +2.1690000000000000E+03,  +6.0435978983570195E+01,  +5.5567869292627172E+01,  +5.2024293265310789E+01,
  +2.1700000000000000E+03,  +6.2024052666675338E+01,  +5.8178877201860431E+01,  +5.3902370117427779E+01,
  +2.1710000000000000E+03,  +6.1004056869225302E+01,  +5.7227882248822134E+01,  +5.2867795833209271E+01,
  +2.1720000000000000E+03,  +5.8401774132895575E+01,  +5.4430331198836960E+01,  +5.0393759263922746E+01,
  +2.1730000000000000E+03,  +5.5741459751926243E+01,  +5.1801894112222271E+01,  +4.7985950883253274E+01,
  +2.1740000000000000E+03,  +5.3143934467189354E+01,  +4.9505502385617440E+01,  +4.6535856111509133E+01,
  +2.1750000000000000E+03,  +5.1010063224413486E+01,  +4.8923359222026853E+01,  +4.7894297475462906E+01,
  +2.1760000000000000E+03,  +4.9837098701538508E+01,  +4.8948022289716000E+01,  +4.8391610840420711E+01,
  +2.1770000000000000E+03,  +4.9116079925740124E+01,  +4.8138312942736299E+01,  +4.6705221992543052E+01,
  +2.1780000000000000E+03,  +4.8401208648536411E+01,  +4.7790261838710315E+01,  +4.7017504734149497E+01,
  +2.1790000000000000E+03,  +5.4848790062454697E+01,  +5.0805249045932356E+01,  +4.9622015124063509E+01,
  +2.1800000000000000E+03,  +6.0033090982445479E+01,  +5.4828702382941735E+01,  +5.0807760543913652E+01,
  +2.1810000000000000E+03,  +5.9139991862350840E+01,  +5.4256151710502685E+01,  +4.9131783684701240E+01,
  +2.1820000000000000E+03,  +5.6490794263479501E+01,  +5.1895422879643746E+01,  +4.8645011996521887E+01,
  +2.1830000000000000E+03,  +5.4635505439810792E+01,  +5.0799478292806732E+01,  +4.9066617073268802E+01,
  +2.1840000000000000E+03,  +5.3324117266032275E+01,  +4.9963262612675422E+01,  +4.7028785855224747E+01,
  +2.1850000000000000E+03,  +5.2162453386711142E+01,  +4.8650938202375634E+01,  +4.3914771314683122E+01,
  +2.1860000000000000E+03,  +5.0915840526488850E+01,  +4.7298441117214239E+01,  +4.4146387005331121E+01,
  +2.1870000000000000E+03,  +4.9709440440333914E+01,  +4.6904745107593705E+01,  +4.6370117277017577E+01,
  +2.1880000000000000E+03,  +4.8726441706265810E+01,  +4.6846077360497553E+01,  +4.6119280085247723E+01,
  +2.1890000000000000E+03,  +4.7837397866077268E+01,  +4.6318053755274782E+01,  +4.5163639487960964E+01,
  +2.1900000000000000E+03,  +5.4319475776079074E+01,  +4.9508944291217404E+01,  +4.8140991190450229E+01,
  +2.1910000000000000E+03,  +5.5795260772825266E+01,  +5.0533683234440993E+01,  +4.8554050515823725E+01,
  +2.1920000000000000E+03,  +5.2625022620006540E+01,  +4.8605848711737607E+01,  +4.5154399408515843E+01,
  +2.1930000000000000E+03,  +5.0174023286661722E+01,  +4.6756263107517142E+01,  +4.4518620240543790E+01,
  +2.1940000000000000E+03,  +4.8476137215241934E+01,  +4.6946892097725133E+01,  +4.6709853332328827E+01,
  +2.1950000000000000E+03,  +4.7833691566111710E+01,  +4.7627929435065191E+01,  +4.7626294204024056E+01,
  +2.1960000000000000E+03,  +5.4846692991302731E+01,  +5.0644797230970873E+01,  +4.9141502750946053E+01,
  +2.1970000000000000E+03,  +6.0502303843102695E+01,  +5.5301913846958115E+01,  +5.1630380641028474E+01,
  +2.1980000000000000E+03,  +6.2289396333769943E+01,  +5.8474870579064678E+01,  +5.4151159659138571E+01,
  +2.1990000000000000E+03,  +6.1395806707675419E+01,  +5.7638894957810429E+01,  +5.2907790996578150E+01,
  +2.2000000000000000E+03,  +5.8734899444357183E+01,  +5.4424093770576484E+01,  +4.9351462186249975E+01,
  +2.2010000000000000E+03,  +5.5774170482567953E+01,  +5.1359747496590394E+01,  +4.7251054766141991E+01,
