 TIME                                   ,T_M                                     ,
 HOURS              ,"�C"                ,
  +2.2210000000000000E+03,  +5.8694460257056555E+01,
  +2.2220000000000000E+03,  +5.8269831286355590E+01,
  +2.2230000000000000E+03,  +5.6043356831322654E+01,
  +2.2240000000000000E+03,  +5.4097296094602221E+01,
  +2.2250000000000000E+03,  +5.2459750492902650E+01,
  +2.2260000000000000E+03,  +5.4349006516870894E+01,
  +2.2270000000000000E+03,  +5.4011241323106013E+01,
  +2.2280000000000000E+03,  +5.5007337074067983E+01,
  +2.2290000000000000E+03,  +5.8269912927235055E+01,
  +2.2300000000000000E+03,  +6.0306729546494324E+01,
  +2.2310000000000000E+03,  +6.1511647035550197E+01,
  +2.2320000000000000E+03,  +6.1333560510469191E+01,
  +2.2330000000000000E+03,  +6.1821576233401288E+01,
  +2.2340000000000000E+03,  +6.1507997532583794E+01,
  +2.2350000000000000E+03,  +5.9647688103390060E+01,
  +2.2360000000000000E+03,  +5.8057105106600659E+01,
  +2.2370000000000000E+03,  +5.6226065336143051E+01,
  +2.2380000000000000E+03,  +5.6092740565115207E+01,
  +2.2390000000000000E+03,  +5.3837283219720092E+01,
  +2.2400000000000000E+03,  +5.5061537800256779E+01,
  +2.2410000000000000E+03,  +5.8571469528981289E+01,
  +2.2420000000000000E+03,  +5.7762415331992209E+01,
  +2.2430000000000000E+03,  +5.5054614813327305E+01,
  +2.2440000000000000E+03,  +5.3498392405498635E+01,
  +2.2450000000000000E+03,  +5.2221223115178397E+01,
  +2.2460000000000000E+03,  +5.0150024631254716E+01,
  +2.2470000000000000E+03,  +4.8654194709003640E+01,
  +2.2480000000000000E+03,  +4.8510232972922502E+01,
  +2.2490000000000000E+03,  +4.8468724352646859E+01,
  +2.2500000000000000E+03,  +4.8420487168864177E+01,
  +2.2510000000000000E+03,  +5.1990974738120961E+01,
  +2.2520000000000000E+03,  +5.6158468754855420E+01,
  +2.2530000000000000E+03,  +5.8724173058764563E+01,
  +2.2540000000000000E+03,  +6.0433489922437580E+01,
  +2.2550000000000000E+03,  +6.0191468577989362E+01,
  +2.2560000000000000E+03,  +5.9144524326542729E+01,
  +2.2570000000000000E+03,  +5.8328893810403429E+01,
  +2.2580000000000000E+03,  +5.7220446908006060E+01,
  +2.2590000000000000E+03,  +5.6235935665457568E+01,
  +2.2600000000000000E+03,  +5.5410423223650717E+01,
  +2.2610000000000000E+03,  +5.4047221214417391E+01,
  +2.2620000000000000E+03,  +5.5546691696805588E+01,
  +2.2630000000000000E+03,  +5.6191560764025631E+01,
  +2.2640000000000000E+03,  +5.7494442625999874E+01,
  +2.2650000000000000E+03,  +5.9293056607007479E+01,
  +2.2660000000000000E+03,  +5.7901570522794181E+01,
  +2.2670000000000000E+03,  +5.5791621783409177E+01,
  +2.2680000000000000E+03,  +5.4823965389162730E+01,
  +2.2690000000000000E+03,  +5.3393020741667129E+01,
  +2.2700000000000000E+03,  +5.1779524974896425E+01,
  +2.2710000000000000E+03,  +5.0938538363246863E+01,
  +2.2720000000000000E+03,  +5.0238211599529883E+01,
  +2.2730000000000000E+03,  +5.2715896350705229E+01,
  +2.2740000000000000E+03,  +5.3542440259150091E+01,
  +2.2750000000000000E+03,  +5.2466271728796194E+01,
  +2.2760000000000000E+03,  +5.1642198267226867E+01,
  +2.2770000000000000E+03,  +5.0952842185211978E+01,
  +2.2780000000000000E+03,  +5.0539650251821548E+01,
  +2.2790000000000000E+03,  +5.3866697079630306E+01,
