 TIME                                   ,T_R                                     ,
  +2.1120000000000000E+03,  +4.9884999999999998E+01,
  +2.1130000000000000E+03,  +5.0048000000000002E+01,
  +2.1140000000000000E+03,  +4.6228000000000002E+01,
  +2.1150000000000000E+03,  +5.0247999999999998E+01,
  +2.1160000000000000E+03,  +5.0353000000000002E+01,
  +2.1170000000000000E+03,  +4.9427999999999997E+01,
  +2.1180000000000000E+03,  +3.4914000000000001E+01,
  +2.1190000000000000E+03,  +4.8399999999999999E+01,
  +2.1200000000000000E+03,  +5.4180999999999997E+01,
  +2.1210000000000000E+03,  +4.9042999999999999E+01,
  +2.1220000000000000E+03,  +3.4704000000000001E+01,
  +2.1230000000000000E+03,  +4.8152999999999999E+01,
  +2.1240000000000000E+03,  +5.1982999999999997E+01,
  +2.1250000000000000E+03,  +4.6628999999999998E+01,
  +2.1260000000000000E+03,  +3.3929000000000002E+01,
  +2.1270000000000000E+03,  +5.1292000000000002E+01,
  +2.1280000000000000E+03,  +4.8072000000000003E+01,
  +2.1290000000000000E+03,  +3.9573000000000000E+01,
  +2.1300000000000000E+03,  +3.6737000000000002E+01,
  +2.1310000000000000E+03,  +5.2274000000000001E+01,
  +2.1320000000000000E+03,  +5.1756999999999998E+01,
  +2.1330000000000000E+03,  +4.4341999999999999E+01,
  +2.1340000000000000E+03,  +3.4140000000000001E+01,
  +2.1350000000000000E+03,  +5.0109000000000002E+01,
  +2.1360000000000000E+03,  +4.6152000000000001E+01,
  +2.1370000000000000E+03,  +4.0219999999999999E+01,
  +2.1380000000000000E+03,  +4.9966999999999999E+01,
  +2.1390000000000000E+03,  +4.0241999999999997E+01,
  +2.1400000000000000E+03,  +5.2173000000000002E+01,
  +2.1410000000000000E+03,  +4.7619999999999997E+01,
  +2.1420000000000000E+03,  +4.9768000000000001E+01,
  +2.1430000000000000E+03,  +4.7817000000000000E+01,
  +2.1440000000000000E+03,  +4.8920000000000002E+01,
  +2.1450000000000000E+03,  +4.6884999999999998E+01,
  +2.1460000000000000E+03,  +4.4329999999999998E+01,
  +2.1470000000000000E+03,  +4.5618000000000002E+01,
  +2.1480000000000000E+03,  +5.3371000000000002E+01,
  +2.1490000000000000E+03,  +4.6518000000000001E+01,
  +2.1500000000000000E+03,  +4.4255000000000003E+01,
  +2.1510000000000000E+03,  +5.0411000000000001E+01,
  +2.1520000000000000E+03,  +5.0973999999999997E+01,
  +2.1530000000000000E+03,  +4.4310000000000002E+01,
  +2.1540000000000000E+03,  +4.4124000000000002E+01,
  +2.1550000000000000E+03,  +5.2390000000000001E+01,
  +2.1560000000000000E+03,  +4.7127000000000002E+01,
  +2.1570000000000000E+03,  +3.7420999999999999E+01,
  +2.1580000000000000E+03,  +3.4936000000000000E+01,
  +2.1590000000000000E+03,  +5.3061999999999998E+01,
  +2.1600000000000000E+03,  +5.1027999999999999E+01,
  +2.1610000000000000E+03,  +4.2366000000000000E+01,
  +2.1620000000000000E+03,  +4.4613000000000000E+01,
  +2.1630000000000000E+03,  +5.2085000000000001E+01,
  +2.1640000000000000E+03,  +4.5508000000000003E+01,
  +2.1650000000000000E+03,  +3.8706000000000003E+01,
