index,electricity,PV,temp,heat_water,heat_space
127,0.0,0.0,2.934,0.200000003,6.5
128,0.0,0.0,2.928,0.5,5.699999809
129,0.0,0.0,3.156,1.0,5.5
130,0.0,0.0,3.615,1.100000024,5.199999809
131,0.0,0.0,4.237,1.100000024,4.800000191
132,0.0,0.0,4.733,0.899999976,4.800000191
133,0.0,0.0,5.0,0.800000012,4.599999905
134,0.0,0.0,4.716,0.699999988,4.800000191
135,0.0,0.0,3.8,0.600000024,5.199999809
136,0.0,0.0,3.367,0.600000024,4.900000095
137,0.0,0.0,2.976,0.699999988,5.5
138,0.0,0.0,2.485,0.699999988,5.5
139,0.0,0.0,2.135,0.800000012,5.900000095
140,0.0,0.0,1.876,0.800000012,6.300000191
141,0.0,0.0,1.647,0.600000024,6.0
142,0.0,0.0,1.665,0.5,3.299999952
143,0.0,0.0,1.656,0.300000012,3.400000095
144,0.0,0.0,1.593,0.200000003,3.099999905
145,0.0,0.0,1.504,0.100000001,3.400000095
146,0.0,0.0,1.52,0.100000001,3.099999905
147,0.0,0.0,1.38,0.0,3.299999952
148,0.0,0.0,1.235,0.100000001,3.700000048
149,0.0,0.0,1.265,0.100000001,5.0
150,0.0,0.0,1.345,0.100000001,7.099999905
151,0.0,0.0,1.353,0.200000003,6.699999809
152,0.0,0.0,1.693,0.600000024,6.0
153,0.0,0.0,2.563,1.0,4.800000191
154,0.0,0.0,3.531,1.100000024,4.699999809
155,0.0,0.0,4.371,1.200000048,4.800000191
156,0.0,0.0,4.835,1.0,4.400000095
157,0.0,0.0,4.844,0.800000012,4.699999809
158,0.0,0.0,4.596,0.600000024,4.099999905
159,0.0,0.0,4.456,0.600000024,4.900000095
160,0.0,0.0,4.612,0.600000024,5.099999905
161,0.0,0.0,4.749,0.699999988,5.5
162,0.0,0.0,5.004,0.800000012,6.099999905
163,0.0,0.0,5.067,0.800000012,6.5
164,0.0,0.0,5.415,0.699999988,6.099999905
165,0.0,0.0,5.796,0.600000024,5.900000095
166,0.0,0.0,6.057,0.400000006,3.299999952
167,0.0,0.0,6.558,0.300000012,2.799999952
168,0.0,0.0,6.855,0.200000003,2.799999952
169,0.0,0.0,6.495,0.100000001,2.700000048
170,0.0,0.0,5.455,0.0,2.599999905
171,0.0,0.0,4.667,0.0,2.599999905
172,0.0,0.0,4.23,0.100000001,3.400000095
173,0.0,0.0,4.039,0.300000012,5.199999809
174,0.0,0.0,4.088,0.899999976,6.5
175,0.0,0.0,4.354,1.0,6.5
176,0.0,0.0,4.742,0.800000012,5.400000095
177,0.0,0.0,5.047,0.699999988,5.199999809
178,0.0,0.0,5.356,0.600000024,4.900000095
179,0.0,0.0,5.556,0.600000024,4.699999809
180,0.0,0.0,5.59,0.5,4.400000095
181,0.0,0.0,5.842,0.5,4.199999809
182,0.0,0.0,5.798,0.5,4.800000191
183,0.0,0.0,5.375,0.400000006,4.599999905
184,0.0,0.0,4.923,0.5,5.0
185,0.0,0.0,4.579,0.600000024,5.099999905
186,0.0,0.0,4.372,0.699999988,5.699999809
187,0.0,0.0,4.2,0.899999976,5.800000191
188,0.0,0.0,4.011,1.0,6.199999809
189,0.0,0.0,3.855,0.899999976,5.900000095
190,0.0,0.0,3.674,0.5,3.5
191,0.0,0.0,3.493,0.300000012,3.0
192,0.0,0.0,3.365,0.200000003,2.799999952
193,0.0,0.0,3.186,0.100000001,2.700000048
194,0.0,0.0,3.011,0.0,3.0
195,0.0,0.0,2.89,0.0,3.0
196,0.0,0.0,2.736,0.100000001,3.299999952
197,0.0,0.0,2.593,0.300000012,4.300000191
198,0.0,0.0,2.457,0.899999976,6.199999809
199,0.0,0.0,2.247,1.0,6.199999809
200,0.0,0.0,2.222,0.800000012,5.0
201,0.0,0.0,2.566,0.699999988,5.0
202,0.0,0.0,3.364,0.600000024,4.400000095
203,0.0,0.0,4.109,0.600000024,4.199999809
204,0.0,0.0,4.373,0.5,3.900000095
205,0.0,0.0,4.201,0.5,4.0
206,0.0,0.0,3.52,0.5,4.099999905
207,0.0,0.0,2.363,0.400000006,3.799999952
208,0.0,0.0,1.346,0.5,4.0
209,0.0,0.0,0.508,0.600000024,4.099999905
210,0.0,0.0,0.105,0.699999988,4.699999809
211,0.0,0.0,-0.051,0.899999976,5.0
212,0.0,0.0,-0.147,1.0,4.900000095
213,0.0,0.0,-0.344,0.899999976,4.699999809
214,0.0,0.0,-0.653,0.600000024,2.900000095
215,0.0,0.0,-1.441,0.300000012,2.400000095
216,0.0,0.0,-2.364,0.200000003,2.200000048
217,0.0,0.0,-2.992,0.100000001,2.099999905
218,0.0,0.0,-2.96,0.0,2.200000048
219,0.0,0.0,-2.581,0.0,2.5
220,0.0,0.0,-2.081,0.100000001,2.900000095
221,0.0,0.0,-1.832,0.300000012,4.099999905
222,0.0,0.0,-1.719,0.899999976,5.900000095
223,0.0,0.0,-1.62,1.0,5.599999905
224,0.0,0.0,-1.296,0.800000012,4.800000191
225,0.0,0.0,-0.812,0.699999988,4.400000095
226,0.0,0.0,-0.277,0.600000024,4.300000191
227,0.0,0.0,0.13,0.5,3.900000095
228,0.0,0.0,0.333,0.600000024,3.799999952
229,0.0,0.0,0.35,0.5,3.5
230,0.0,0.0,0.032,0.5,3.799999952
231,0.0,0.0,-0.847,0.400000006,3.5
232,0.0,0.0,-1.019,0.5,4.0
233,0.0,0.0,-0.98,0.600000024,4.5
234,0.0,0.0,-1.057,0.800000012,5.0
235,0.0,0.0,-1.257,0.899999976,4.900000095
236,0.0,0.0,-1.287,1.0,5.099999905
237,0.0,0.0,-1.171,1.0,5.0
238,0.0,0.0,-0.953,0.5,2.799999952
239,0.0,0.0,-0.941,0.300000012,2.299999952
240,0.0,0.0,-0.926,0.200000003,2.299999952
241,0.0,0.0,-0.81,0.100000001,2.200000048
242,0.0,0.0,-0.69,0.0,2.200000048
243,0.0,0.0,-0.51,0.0,2.200000048
244,0.0,0.0,-0.453,0.100000001,2.5
245,0.0,0.0,-0.313,0.300000012,3.700000048
246,0.0,0.0,-0.041,1.0,5.599999905
247,0.0,0.0,0.28,0.899999976,4.800000191
248,0.0,0.0,0.717,0.800000012,4.199999809
249,0.0,0.0,1.383,0.699999988,3.900000095
250,0.0,0.0,2.329,0.600000024,3.400000095
251,0.0,0.0,3.26,0.600000024,3.599999905
252,0.0,0.0,3.773,0.5,3.299999952
253,0.0,0.0,3.973,0.5,3.400000095
254,0.0,0.0,4.29,0.400000006,3.0
255,0.0,0.0,4.429,0.400000006,3.299999952
256,0.0,0.0,4.546,0.5,3.700000048
257,0.0,0.0,4.771,0.600000024,4.0
258,0.0,0.0,4.948,0.699999988,4.300000191
259,0.0,0.0,4.949,0.899999976,4.300000191
260,0.0,0.0,4.938,1.0,4.5
261,0.0,0.0,4.963,0.800000012,3.799999952
262,0.0,0.0,4.897,0.5,2.599999905
263,0.0,0.0,4.695,0.300000012,2.5
264,0.0,0.0,4.434,0.200000003,2.400000095
265,0.0,0.0,4.092,0.100000001,2.299999952
266,0.0,0.0,3.932,0.0,2.400000095
267,0.0,0.0,3.777,0.0,2.5
268,0.0,0.0,3.637,0.100000001,2.700000048
269,0.0,0.0,3.509,0.300000012,3.900000095
270,0.0,0.0,3.388,0.899999976,5.300000191
271,0.0,0.0,3.237,1.0,5.199999809
272,0.0,0.0,3.143,0.800000012,4.5
273,0.0,0.0,3.449,0.699999988,4.300000191
274,0.0,0.0,3.958,0.600000024,3.799999952
275,0.0,0.0,4.543,0.600000024,3.799999952
276,0.0,0.0,4.94,0.5,3.5
277,0.0,0.0,4.922,0.5,3.799999952
278,0.0,0.0,4.955,0.5,3.799999952
279,0.0,0.0,5.115,0.400000006,3.700000048
280,0.0,0.0,5.359,0.5,4.199999809
281,0.0,0.0,5.623,0.600000024,4.199999809
282,0.0,0.0,5.666,0.800000012,4.900000095
283,0.0,0.0,5.6,0.899999976,4.800000191
284,0.0,0.0,5.574,1.0,5.199999809
285,0.0,0.0,5.491,0.899999976,4.800000191
286,0.0,0.0,5.44,0.5,3.200000048
287,0.0,0.0,5.258,0.300000012,2.700000048
288,0.0,0.0,5.211,0.200000003,3.200000048
289,0.0,0.0,5.345,0.100000001,3.299999952
290,0.0,0.0,5.411,0.100000001,3.5
291,0.0,0.0,5.383,0.0,3.400000095
292,0.0,0.0,5.378,0.100000001,3.799999952
293,0.0,0.0,5.391,0.100000001,5.699999809
294,0.0,0.0,5.864,0.100000001,7.199999809
295,0.0,0.0,6.418,0.200000003,6.800000191
296,0.0,0.0,6.771,0.5,6.0
297,0.0,0.0,7.029,1.0,5.599999905
298,0.0,0.0,7.216,1.100000024,5.300000191
299,0.0,0.0,7.395,1.100000024,5.400000095
300,0.0,0.0,7.463,1.0,5.0
301,0.0,0.0,7.465,0.800000012,5.5
302,0.0,0.0,7.428,0.699999988,5.0
303,0.0,0.0,7.381,0.600000024,4.800000191
304,0.0,0.0,7.375,0.600000024,5.800000191
305,0.0,0.0,7.414,0.600000024,5.5
306,0.0,0.0,7.433,0.600000024,5.400000095
307,0.0,0.0,7.298,0.800000012,6.400000095
308,0.0,0.0,6.859,0.800000012,6.699999809
309,0.0,0.0,6.278,0.600000024,6.900000095
310,0.0,0.0,5.785,0.5,3.900000095
311,0.0,0.0,5.394,0.300000012,3.099999905
312,0.0,0.0,5.33,0.200000003,3.400000095
313,0.0,0.0,5.299,0.100000001,3.400000095
314,0.0,0.0,5.193,0.100000001,3.299999952
315,0.0,0.0,5.083,0.0,3.599999905
316,0.0,0.0,4.998,0.100000001,4.199999809
317,0.0,0.0,4.747,0.100000001,6.0
318,0.0,0.0,4.479,0.100000001,8.699999809
319,0.0,0.0,4.285,0.200000003,7.699999809
320,0.0,0.0,4.227,0.5,6.400000095
321,0.0,0.0,4.224,1.0,7.0
322,0.0,0.0,4.459,1.100000024,6.699999809
323,0.0,0.0,4.731,1.100000024,6.0
