hs_mittelwert
55.109
58.398
57.098
59.512
57.911
59.533
56.864
54.349
51.887
49.528
47.272
45.111
51.057
55.087
57.694
59.320
60.299
60.882
61.227
61.464
59.087
60.316
61.457
60.174
58.874
57.539
59.774
58.310
60.071
57.815
54.991
52.330
49.721
47.224
44.831
42.540
49.253
46.963
52.160
55.609
57.809
59.183
60.046
60.613
61.060
61.518
62.168
60.807
59.524
61.098
59.738
61.150
59.479
57.249
54.468
51.842
49.267
46.805
44.446
42.190
49.047
53.711
56.742
58.639
59.795
60.487
60.908
61.195
61.455
59.250
60.731
59.388
58.286
57.149
55.969
54.704
57.843
55.854
53.374
51.032
48.751
46.589
44.532
42.568
40.640
48.204
53.340
56.654
58.723
60.000
60.785
61.289
59.094
57.139
55.719
54.565
53.643
52.679
56.838
55.728
54.367
52.533
50.260
48.107
46.050
44.129
42.321
40.608
38.920
47.256
52.923
56.566
58.845
60.234
61.072
61.606
59.609
57.852
56.604
55.622
54.821
53.977
57.767
56.768
55.511
53.815
51.731
49.751
47.874
46.152
44.542
43.026
41.528
49.126
54.273
52.577
56.310
58.716
56.788
58.935
57.109
55.508
54.388
53.527
52.916
57.235
56.554
55.788
54.815
53.515
51.939
50.424
48.986
47.677
46.454
45.309
44.181
43.010
50.354
49.054
47.702
46.281
44.800
43.319
41.916
40.685
39.824
39.169
