index,py_P_elec,py_P_heat,py_m_flow,py_COP,py_status,py_T_1,py_T_2,py_T_3,py_T_m
82,0.000,0.000,0.000,1.830,0.000,47.861,44.532,41.201,44.532
83,0.000,0.000,0.000,1.910,0.000,45.897,42.570,39.238,42.568
84,-0.000,-0.000,0.000,1.960,0.000,43.969,40.641,37.309,40.640
85,8.816,17.720,700.000,2.010,1.000,54.143,47.266,43.203,48.204
86,6.529,13.320,700.000,2.040,1.000,58.714,52.691,48.616,53.340
87,4.923,10.093,700.000,2.050,1.000,61.006,56.370,52.585,56.654
88,3.901,7.958,700.000,2.040,1.000,62.253,58.706,55.211,58.723
89,3.273,6.612,700.000,2.020,1.000,62.976,60.156,56.867,60.000
90,2.919,5.779,700.000,1.980,1.000,63.411,61.050,57.892,60.785
91,2.759,5.242,700.000,1.900,1.000,63.691,61.625,58.552,61.289
92,0.000,0.000,0.000,1.830,0.000,61.972,59.368,55.941,59.094
93,0.000,0.000,0.000,1.800,0.000,60.252,57.324,53.841,57.139
94,0.000,0.000,0.000,1.790,0.000,58.933,55.846,52.377,55.719
95,0.000,0.000,0.000,1.780,0.000,57.830,54.654,51.211,54.565
96,-0.000,-0.000,0.000,1.780,0.000,56.934,53.708,50.288,53.643
97,0.000,0.000,0.000,1.790,0.000,55.987,52.725,49.326,52.679
98,5.334,9.601,700.000,1.800,1.000,60.595,56.729,53.190,56.838
99,0.000,0.000,0.000,1.800,0.000,59.345,55.606,52.232,55.728
100,0.000,0.000,0.000,1.800,0.000,57.869,54.262,50.970,54.367
101,0.000,0.000,0.000,1.810,0.000,55.947,52.462,49.190,52.533
102,0.000,0.000,0.000,1.810,0.000,53.623,50.221,46.935,50.260
103,0.000,0.000,0.000,1.810,0.000,51.449,48.088,44.785,48.107
104,0.000,0.000,0.000,1.820,0.000,49.382,46.041,42.725,46.050
105,0.000,0.000,0.000,1.840,0.000,47.459,44.127,40.803,44.129
106,0.000,0.000,0.000,1.900,0.000,45.650,42.321,38.993,42.321
107,0.000,0.000,0.000,1.990,0.000,43.936,40.609,37.279,40.608
108,-0.000,-0.000,0.000,2.050,0.000,42.248,38.922,35.590,38.920
109,8.994,18.707,700.000,2.080,1.000,53.525,46.254,41.990,47.256
110,6.599,13.857,700.000,2.100,1.000,58.566,52.246,47.955,52.923
111,4.892,10.273,700.000,2.100,1.000,61.050,56.284,52.363,56.566
112,3.772,7.884,700.000,2.090,1.000,62.388,58.846,55.302,58.845
113,3.101,6.388,700.000,2.060,1.000,63.144,60.415,57.142,60.234
114,2.739,5.478,700.000,2.000,1.000,63.588,61.366,58.262,61.072
115,2.564,4.897,700.000,1.910,1.000,63.871,61.971,58.977,61.606
116,0.000,0.000,0.000,1.770,0.000,62.390,59.924,56.511,59.609
117,0.000,0.000,0.000,1.720,0.000,60.900,58.079,54.577,57.852
118,0.000,0.000,0.000,1.700,0.000,59.772,56.768,53.271,56.604
119,0.000,0.000,0.000,1.700,0.000,58.853,55.744,52.269,55.622
120,4.478,7.568,700.000,1.690,1.000,62.023,58.967,55.691,58.894
121,0.000,0.000,0.000,1.680,0.000,61.232,58.124,54.794,58.050
122,0.000,0.000,0.000,1.660,0.000,60.388,57.230,53.871,57.163
123,0.000,0.000,0.000,1.640,0.000,59.424,56.220,52.849,56.164
124,0.000,0.000,0.000,1.620,0.000,58.196,54.948,51.577,54.907
125,0.000,0.000,0.000,1.610,0.000,56.521,53.237,49.875,53.211
126,0.000,0.000,0.000,1.580,0.000,54.449,51.142,47.790,51.127
127,0.000,0.000,0.000,1.590,0.000,52.474,49.155,45.811,49.147
128,0.000,0.000,0.000,1.730,0.000,50.598,47.275,43.936,47.270
129,0.000,0.000,0.000,1.840,0.000,48.877,45.551,42.215,45.548
130,0.000,0.000,0.000,1.990,0.000,47.266,43.941,40.606,43.938
131,0.000,0.000,0.000,2.090,0.000,45.750,42.425,39.091,42.422
132,0.000,0.000,0.000,2.160,0.000,44.252,40.927,37.593,40.924
133,7.858,17.366,700.000,2.210,1.000,54.667,47.879,43.639,48.728
134,5.667,12.807,700.000,2.260,1.000,59.318,53.491,49.247,54.019
135,0.000,0.000,0.000,2.280,0.000,56.772,51.780,48.415,52.322
136,4.541,10.399,700.000,2.290,1.000,60.391,55.834,52.209,56.145
137,3.526,8.040,700.000,2.280,1.000,62.145,58.579,55.111,58.611
138,0.000,0.000,0.000,2.230,0.000,60.124,56.639,53.285,56.683
