p_elec_hp,p_heat_hp,python_schicht_1,python_schicht_2,python_schicht_3,python_mittel,TRNSYS_schicht_1,TRNSYS_schicht_2,TRNSYS_schicht_3,TRNSYS_mittel
7.791860925145778,11.765709996970125,59.88483481646127,54.914723703978694,50.5275375046844,55.10903200837479,59.884835,54.91472399999999,50.52753800000001,55.109032333333325
5.70825759327526,8.448221238047385,62.173050935523705,58.41368048569927,54.60822890830598,58.398320109842984,58.928150933276456,54.169598050781566,50.4493871621381,54.51571204873204
0.0,0.0,60.7300425184637,57.041478734921895,53.522948505809495,57.09815658639837,57.18255345539444,52.85212586505696,49.66795089439753,53.23421007161631
4.870070799706639,7.061602659574627,62.612158402948204,59.610243379068905,56.31384509104571,59.51208229102093,55.540041365603386,51.7254681942122,49.26298714689519,52.17616556890359
0.0,0.0,61.11067520944673,57.99310818190044,54.62788569336424,57.91055636157048,53.99881948794358,50.919110027103855,49.640578769921255,51.51950276165624
4.917381592459089,6.982681861291906,62.5242313852172,59.66357694797696,56.4109219604859,59.53291009789336,52.5507219908289,50.39346393605389,49.70205834049157,50.88208142245812
0.0,0.0,60.04781581594266,56.9597284776094,53.5835563526997,56.86370021541725,56.657566644979696,51.87392149733246,47.18629271017891,51.90592695083036
0.0,0.0,57.620147013216055,54.40651959068581,51.021763535740085,54.34947671321399,56.62379704922809,50.923865629603675,46.684874590240426,51.41084575635738
0.0,0.0,55.19498390644147,51.91743003115802,48.54833207569766,51.886915337765714,58.14567836597472,52.961230547209645,50.78987405603719,53.96559432307385
0.0,0.0,52.85047246790102,49.54337622665567,46.189185952938054,49.52767821583158,58.18177354731872,53.84397212864289,51.60099474130827,54.54224680575663
0.0,0.0,50.59981261029158,47.27994320041111,43.93554023153247,47.27176534741172,55.31210590995052,51.30057485874896,46.40332452899466,51.005335099231374
0.0,0.0,48.44016103158179,45.11517546939648,41.77636263316107,45.11056637804645,57.88685525051436,52.41812461144342,47.45283904174778,52.58593963456852
8.234021504039607,14.985919137352086,56.22812381785597,50.3765901799219,46.566505316805234,51.05707310486104,58.07324143015536,52.9134039147265,50.41857824618782,53.80174119702323
6.1849969894469785,11.50409440037138,59.767540393600655,54.643485803518224,50.849338901365094,55.08678836616132,59.42485665499037,54.801036143565966,51.559122110712046,55.2616716364228
4.747522475674334,8.97281747902449,61.5741316316184,57.54500410362874,53.96294703201634,57.694027589087824,61.73238402196771,57.170318653311206,50.47053282190354,56.45774516572749
3.8466295934809582,7.30859622761382,62.56473508376868,59.383929285314736,56.01002958386833,59.31956465098392,60.33026894895664,55.59306437411195,50.14864885470326,55.357327392590605
3.3076653198600967,6.284564107734184,63.127178265939676,60.501095579642254,57.26964472420181,60.29930618992791,57.11086450244564,52.74109300815424,49.80484306284846,53.218933524482765
3.0181018986992654,5.674031569554619,63.45572279842318,61.168466966348085,58.02063291473591,60.88160755983572,54.10449448372529,50.22395683841808,46.41268353334001,50.2470449518278
2.872143053777889,5.313464649489095,63.650919028203205,61.56538669744943,58.464149815037175,61.22681851356327,51.067993967613134,46.89569794834731,41.972638786292286,46.64544356741759
2.8776316136362072,5.064631639999725,63.78601003961934,61.8356160846408,58.77022793513012,61.463951353130085,48.25374445095354,45.41998554357614,43.218240761943534,45.6306569188244
0.0,0.0,61.9499026241926,59.37868282761082,55.93389511507173,59.087493522291716,54.17744954111402,49.26733177287905,48.16962391118246,50.53813507505851
3.6699508556953186,6.2022169461250884,63.01063539539962,60.56544466578097,57.37093620667845,60.31567208928635,55.91068466529763,50.424114951474216,48.19154448659498,51.50878136778894
2.959286235891744,5.001193738657047,63.74380195856421,61.77952165079294,58.84826000019036,61.457194536515836,58.327279659166734,52.837634842636646,47.55382918756759,52.90624789645698
0.0,0.0,62.84055247420428,60.50080216144071,57.181400530327544,60.17425172199085,61.939982930249805,57.19252051466386,51.84463256213362,56.99237866901577
-0.0,-0.0,61.80161433015032,59.14591979853179,55.6747298877237,58.874088005468614,63.34025747332438,60.19993521689469,55.62985787935224,59.723350189857115
0.0,0.0,60.63856679063806,57.742127356112036,54.237755045803894,57.53948306418467,63.9644916363808,61.668138394843005,56.56834286098242,60.733657630735415
4.043346221539228,6.711954727755119,62.63237530184807,59.94526321392579,56.74393104260542,59.77385651945976,63.52534344163724,60.82518605320798,55.42258535100677,59.924371615284
0.0,0.0,61.359195795999625,58.46751503711355,55.10357795072206,58.31009626127841,62.09352788895852,58.238104908473936,51.68387890297687,57.33850390013644
3.869843374186212,6.423940001149112,62.85370946149447,60.260761228694335,57.098204803388015,60.07089183119226,60.027687365578366,55.403049640454526,49.97026067325462,55.13366589309584
0.0,0.0,60.881420330946185,57.97216581614341,54.591350741278696,57.81497896278943,57.29937804918408,52.92569261144289,49.703984228795775,53.30968496314091
0.0,0.0,58.21945753702596,55.08190917956551,51.67098138375904,54.990782700116846,54.389976430134006,51.09494122876527,49.30450335157297,51.596473670157415
0.0,0.0,55.62413970647778,52.37732296569988,48.98908684410211,52.33018317209326,52.18911413671045,49.98199833574142,48.95909859958689,50.37673702401292
0.0,0.0,53.040307095520824,49.74394473526623,46.37948548168625,49.72124577082443,50.782861080375945,49.33590627371025,48.673345047620685,49.59737080056897
0.0,0.0,50.55183471338673,47.235035686462076,43.885858532739185,47.224242977529336,55.985753923460784,51.70638478479572,49.448624262674734,52.380254323643754
0.0,0.0,48.160565578722924,44.83596903617839,41.49515869834354,44.830564437748286,60.43131517530036,55.306266991000335,50.73248394986032,55.49002203872035
0.0,0.0,45.87055359993103,42.543347203183174,39.20672965133019,42.54021015148147,59.38409685011057,54.595055972068565,49.667563055517,54.54890529256539
8.627130495111333,16.65036185556487,54.84457078802555,48.3961169429549,44.51915034875495,49.2532793599118,56.35948433931544,52.19303820333161,49.783274361758046,52.77859896813504
0.0,0.0,51.35920897429759,46.295253750956334,43.23431277925196,46.962925168168624,53.9629602069602,50.9710991742686,49.658095483044015,51.53071828809093
7.012225807710836,14.024451615421672,57.3050462324466,51.42441053663472,47.74916240033405,52.15953972313846,52.09988146283828,49.68938932831526,47.4472384836333,49.745503091595616
5.449787119557119,10.954072110309808,60.10978947103756,55.19167273778806,51.525896199356765,55.60911946939413,50.54283522400711,48.65548310659739,47.54094936426744,48.91308923162398
4.403838438547068,8.807676877094137,61.591104482405136,57.669532670967214,54.166078944030694,57.80890536580102,49.54879195902296,48.88480805227707,48.884725760658334,49.106108590652795
3.745979817664675,7.417040038976056,62.43694440391989,59.23490350358002,55.87663780443523,59.18282857064505,49.12284477357626,48.79862101197505,47.7442354682191,48.5552337512568
3.3847800297490123,6.532625457415594,62.9515520748662,60.223023357596,56.96451578759478,60.04636374001899,48.580295042807606,47.62266930152664,45.8125413005734,47.338501881635885
3.3053842054042715,5.949691569727689,63.287236173224144,60.87145108227313,57.68155613866453,60.6134144647206,48.1122576776952,47.56808335664568,46.799891101291195,47.49341071187735
3.2460282871960873,5.4857878053613875,63.55130330416079,61.376427525284264,58.25218297146561,61.05997126697022,54.79974205219624,50.66666652119024,48.7986340786164,51.42168088400096
3.0089552263042822,4.994865675665109,63.81404853281119,61.88351842342385,58.85604386145683,61.51787027256396,60.06224909771899,54.442431215189565,48.91877684562423,54.47448571951093
2.6058575300754563,4.247547774022993,64.15189773579097,62.575963367023775,59.7752854802269,62.16771552768055,62.02846546888147,57.35973331815558,50.1068229769763,56.498340588004446
0.0,0.0,63.30042029856478,61.22005973667536,57.90135853381121,60.807279523017115,61.59967367834227,57.01758274030158,51.249224677143,56.62216036526228
-0.0,-0.0,62.34454943129604,59.86849027005796,56.359969982129684,59.52433656116123,59.77892975187224,55.169534124675366,51.50225397663205,55.483572617726544
3.466464393980625,5.373019810669969,63.49441476582978,61.41000046689121,58.39089373131468,61.09843632134522,58.031065011524575,53.6984173257008,49.84577572976846,53.85841935566461
0.0,0.0,62.49098605021536,60.039372612950466,56.68364228687958,59.7380003166818,56.301050512482526,52.055571741525725,47.77968191132592,52.04543472177807
3.426621958575514,5.311264035792047,63.52569334810258,61.456582859827975,58.466856689437904,61.14971096578949,54.57577900235964,50.651280252904805,48.10690447013737,51.1113212418006
0.0,0.0,62.26933232124591,59.768041321809015,56.40053295893389,59.47930220066294,58.07018743067244,53.223435578861455,50.08554103200517,53.79305468051302
0.0,0.0,60.33302767866758,57.44382689183739,53.970806616411,57.24922039563865,58.4012574571371,52.912056781425,47.480232911784526,52.93118238344888
0.0,0.0,57.70955880606083,54.56958175923782,51.12508715049187,54.46807590526351,54.448877632378746,49.57381720220236,45.94212884211256,49.988274558897885
0.0,0.0,55.143392900930394,51.89100516978611,48.4913553145189,51.84191779507847,51.34336854199449,48.69930425515248,48.03989493170653,49.36085590961783
0.0,0.0,52.59038032040962,49.28983006009879,45.92205505443624,49.26742181164821,55.9715028189144,51.7113659240416,49.70715623486481,52.4633416592736
0.0,0.0,50.134333794260264,46.81504166618033,43.465205848134644,46.804860436191746,60.4359789835702,55.567869292627165,52.02429326531079,56.00938051383605
0.0,0.0,47.776477525884346,44.45055747519418,41.10983494166965,44.44562331424939,62.02405266667534,58.17887720186043,53.90237011742778,58.03509999532118
0.0,0.0,45.52040859857025,42.19256045971401,38.8561622791797,42.18971044582132,61.004056869225295,57.22788224882213,52.86779583320927,57.03324498375224
8.598864124790543,16.853773684589463,54.69926334022541,48.17185460347966,44.26894274824295,49.046686897316,58.401774132895575,54.43033119883696,50.393759263922746,54.408621531885096
6.429308643755783,12.858617287511565,58.85602479800475,53.09264228760767,49.1832021626361,53.7106230827495,55.74145975192624,51.80189411222227,47.98595088325328,51.84310158246726
4.870679550698406,9.936186283424748,60.98297129769302,56.46383006294967,52.77795106539553,56.741584142012734,53.14393446718936,49.50550238561744,46.535856111509126,49.7284309881053
3.9052634820908483,8.005790138286239,62.15329346400569,58.61123632271693,55.152443197091216,58.638990994604605,51.010063224413486,48.923359222026846,47.894297475462906,49.27590664063442
3.3194573256972326,6.804887517679326,62.82623769306508,59.93040269117182,56.62961866221278,59.79541968214989,49.8370987015385,48.948022289716,48.39161084042071,49.05891061055841
2.9973465015482708,6.084613398142989,63.221511812050196,60.72311487629281,57.51559495977752,60.48674054937351,49.11607992574013,48.1383129427363,46.705221992543045,47.98653828700649
2.8665581839245053,5.647119622331275,63.46358824523263,61.20722546954356,58.053736071873566,60.90818326221659,48.40120864853641,47.79026183871032,47.0175047341495,47.736325073798746
2.922977698009709,5.3490491873577675,63.630053672584026,61.53471983024684,58.42037890024749,61.19505080102612,54.8487900624547,50.80524904593236,49.62201512406351,51.758684744150194
2.967382810065456,5.0742246052119295,63.77997133705328,61.82530097196167,58.758428066759386,61.454566791924776,60.03309098244548,54.828702382941735,50.807760543913645,55.223184636433615
0.0,0.0,62.09400221341912,59.54890353090593,56.10804240652453,59.250316050283196,59.13999186235084,54.256151710502685,49.13178368470124,54.175975752518255
3.4905847608247718,5.759464855360873,63.26795430580635,61.0095553500707,57.91554533183603,60.73101832923769,56.4907942634795,51.89542287964375,48.64501199652189,52.343743046548376
0.0,0.0,62.22716138528963,59.651750818536854,56.28449689665529,59.387803033493924,54.63550543981079,50.799478292806725,49.0666170732688,51.5005336019621
-0.0,-0.0,61.30045650938098,58.50749549968227,55.04908082777477,58.285677612279336,53.32411726603228,49.96326261267542,47.02878585522475,50.105388577977486
0.0,0.0,60.28589348140692,57.32048326176148,53.8409557376866,57.14911082695166,52.162453386711135,48.650938202375634,43.91477131468312,48.2427209679233
0.0,0.0,59.187408960527115,56.09350433564043,52.62756350607959,55.96949226741571,50.91584052648885,47.29844111721424,44.14638700533112,47.45355621634474
0.0,0.0,57.973874678745226,54.7877337348425,51.34970207184347,54.703770161810404,49.70944044033392,46.904745107593705,46.37011727701758,47.66143427498173
5.342720854062579,8.601780575040753,61.28959142032183,57.82071538106425,54.41934258134277,57.843216460909616,48.72644170626581,46.84607736049755,46.11928008524772,47.23059971733702
0.0,0.0,59.24609720049612,55.82808238422744,52.488494157296735,55.85422458067344,47.837397866077275,46.31805375527478,45.16363948796096,46.43969703643768
0.0,0.0,56.73158477884908,53.35683983729377,50.03490287278088,53.374442496307914,54.319475776079074,49.50894429121741,48.14099119045023,50.656470419248905
0.0,0.0,54.37350733005731,51.022858096686235,47.70091282314398,51.03242608329584,55.79526077282527,50.53368323444099,48.554050515823725,51.62766484103
0.0,0.0,52.08460374519555,48.746479612652294,45.420963096648784,48.75068215149887,52.62502262000655,48.60584871173761,45.15439940851584,48.795090246753325
0.0,0.0,49.920375667707106,46.588344157683835,43.259729721017045,46.589483182136,50.17402328666172,46.756263107517135,44.51862024054379,47.14963554490755
0.0,0.0,47.861235931289734,44.53212175062475,41.20146771674914,44.53160846622121,48.476137215241934,46.946892097725126,46.70985333232883,47.37762754843197
0.0,0.0,45.897527214626585,42.569831419515594,39.23798431395138,42.56844764936452,47.83369156611171,47.62792943506519,47.626294204024056,47.695971735066976
0.0,0.0,43.96859052976288,40.64156599772301,37.309028079756345,40.63972820241408,54.84669299130273,50.64479723097087,49.141502750946046,51.54433099107322
8.816089501333165,17.72033989767966,54.1429081803421,47.2664811150789,43.20301906116513,48.20413611886204,60.502303843102695,55.30191384695812,51.63038064102848,55.81153277702976
6.529355894792509,13.31988602537672,58.71411321697306,52.690588397204685,48.61581655558526,53.34017272325434,62.289396333769936,58.47487057906468,54.15115965913857,58.305142190657726
4.923468044382219,10.093109490983549,61.005689737657534,56.37024316527826,52.584926994886885,56.65361996594089,61.39580670767542,57.63889495781042,52.90779099657815,57.31416422068799
3.900931282039875,7.957899815361345,62.25272123679218,58.7058064256246,55.2113508960399,58.72329285281889,58.73489944435718,54.42409377057648,49.351462186249975,54.17015180039456
3.2730917654137452,6.6116453661357655,62.97579063493396,60.1556855496499,56.867317006932176,59.99959773050534,55.77417048256795,51.3597474965904,47.25105476614199,51.46165758176678
2.918540227798152,5.778709651040341,63.41143645368659,61.05051287919342,57.89187318763285,60.784607506837624,58.10494516617268,53.14902828012927,50.44014149258756,53.898038312963166
