HeatStore,hs,hs,hs
N_layer,1,2,3
snapshot,,,
2020-03-30 00:00:00,54.79942188532742,39.99999701649039,25.20058110698567
2020-03-30 01:00:00,54.79833321918053,39.99999701718857,25.201669772499756
2020-03-30 02:00:00,54.797244633117465,39.99999701787356,25.202758357930136
2020-03-30 03:00:00,54.796156127132356,39.99999701857146,25.20384686328273
2020-03-30 04:00:00,54.7950677012193,39.999997019256135,25.204935288563416
2020-03-30 05:00:00,54.79397935537243,39.999997019953724,25.206023633778084
2020-03-30 06:00:00,54.79289108958581,39.99999702063811,25.207111898932624
2020-03-30 07:00:00,54.791802903853586,39.999997021322315,25.208200084032953
2020-03-30 08:00:00,54.79071479816162,39.99999702198024,25.20928818909313
2020-03-30 09:00:00,54.78962677254665,39.999997022638034,25.21037621410262
2020-03-30 10:00:00,54.788538826916096,39.99999702336107,25.211464159075533
2020-03-30 11:00:00,54.78745096136868,39.99999702401856,25.21255202401776
2020-03-30 12:00:00,54.78636317582006,39.99999702474128,25.213639808935188
2020-03-30 13:00:00,54.785275470290486,39.99999702541157,25.214727513833697
2020-03-30 14:00:00,54.784187844774095,39.999997026094775,25.215815138719186
2020-03-30 15:00:00,54.783100299265,39.999997026764746,25.21690268359753
2020-03-30 16:00:00,54.782012833757314,39.99999702744765,25.217990148474627
2020-03-30 17:00:00,54.780925448245085,39.99999702816967,25.21907753335635
2020-03-30 18:00:00,54.77983814272257,39.99999702887842,25.220164838248593
2020-03-30 19:00:00,54.778750917183764,39.9999970295609,25.221252063157223
2020-03-30 20:00:00,54.77766377162285,39.999997030230126,25.222339208088144
2020-03-30 21:00:00,54.77657670603388,39.99999703091232,25.223426273047227
2020-03-30 22:00:00,54.77548972041104,39.999997031633605,25.224513258040364
2020-03-30 23:00:00,54.774402814748385,39.99999703231549,25.22560016307343
2020-03-31 00:00:00,54.77331598904008,39.999997032997214,25.226686988152323
2020-03-31 01:00:00,54.77222924328024,39.99999703365262,25.227773733282895
2020-03-31 02:00:00,54.771142577462946,39.99999703433408,25.228860398471042
2020-03-31 03:00:00,54.77005599158236,39.99999703502845,25.229946983722648
2020-03-31 04:00:00,54.768969485632574,39.9999970357096,25.231033489043586
2020-03-31 05:00:00,54.76788305960773,39.99999703640368,25.232119914439743
2020-03-31 06:00:00,54.766796713501925,39.99999703707146,25.233206259916997
2020-03-31 07:00:00,54.76571044733544,39.999997037726025,25.234292525481223
2020-03-31 08:00:00,54.764624261050116,39.9999970383935,25.2353787111383
2020-03-31 09:00:00,54.7635381546662,39.99999703907391,25.23646481689411
2020-03-31 10:00:00,54.76245212817781,39.99999703981955,25.23755084275453
2020-03-31 11:00:00,54.7613661815791,39.99999704052583,25.23863678872544
2020-03-31 12:00:00,54.76028031486417,39.99999704120579,25.239722654812713
2020-03-31 13:00:00,54.75919452802714,39.999997041872525,25.24080844102222
2020-03-31 14:00:00,54.75810882106216,39.99999704255218,25.241894147359854
2020-03-31 15:00:00,54.757023193963306,39.99999704327095,25.242979773831472
2020-03-31 16:00:00,54.755937646724746,39.99999704395034,25.244065320442957
2020-03-31 17:00:00,54.754852179340595,39.999997044629566,25.245150787200185
2020-03-31 18:00:00,54.753766791805,39.99999704528248,25.246236174109026
2020-03-31 19:00:00,54.75268148411201,39.99999704596144,25.24732148117535
2020-03-31 20:00:00,54.75159625625584,39.99999704665331,25.248406708405035
2020-03-31 21:00:00,54.75051110823055,39.99999704733197,25.24949185580397
2020-03-31 22:00:00,54.74942604003031,39.99999704804974,25.250576923378002
2020-03-31 23:00:00,54.748341051649255,39.999997048715024,25.25166191113301
2020-04-01 00:00:00,54.747256143081486,39.99999704939324,25.25274681907487
2020-04-01 01:00:00,54.746171314321174,39.999997050058205,25.253831647209445
2020-04-01 02:00:00,54.74508656536237,39.99999705073614,25.25491639554262
2020-04-01 03:00:00,54.74400189619926,39.999997051426995,25.25600106408025
2020-04-01 04:00:00,54.74291730682599,39.99999705213077,25.257085652828216
2020-04-01 05:00:00,54.74183279723665,39.999997052808254,25.258170161792385
2020-04-01 06:00:00,54.7407483674254,39.99999705347249,25.259254590978625
2020-04-01 07:00:00,54.739664017386325,39.999997054149695,25.2603389403928
2020-04-01 08:00:00,54.73857974711359,39.99999705481365,25.261423210040785
2020-04-01 09:00:00,54.737495556601345,39.999997055490546,25.262507399928445
2020-04-01 10:00:00,54.7364114458437,39.9999970561673,25.263591510061644
2020-04-01 11:00:00,54.73532741483481,39.99999705685698,25.264675540446255
2020-04-01 12:00:00,54.73424346356875,39.999997057533456,25.26575949108814
2020-04-01 13:00:00,54.73315959203973,39.99999705822283,25.266843361993168
2020-04-01 14:00:00,54.73207580024181,39.99999705889902,25.26792715316721
2020-04-01 15:00:00,54.730992088169174,39.99999705958814,25.26901086461612
2020-04-01 16:00:00,54.72990845581596,39.99999706025094,25.270094496345763
2020-04-01 17:00:00,54.72882490317628,39.999997060926674,25.271178048362014
2020-04-01 18:00:00,54.72774143024431,39.99999706158917,25.272261520670725
2020-04-01 19:00:00,54.72665803701412,39.999997062264626,25.27334491327776
2020-04-01 20:00:00,54.72557472350606,39.99999706293994,25.274428226188988
2020-04-01 21:00:00,54.72449148966194,39.999997063615076,25.275511459410268
2020-04-01 22:00:00,54.72340833550204,39.99999706429008,25.276594612947466
2020-04-01 23:00:00,54.722325261020515,39.999997064951856,25.277677686806445
2020-04-02 00:00:00,54.72124226621149,39.99999706562657,25.27876068099306
2020-04-02 01:00:00,54.720159351069114,39.99999706628806,25.279843595561115
2020-04-02 02:00:00,54.71907651558752,39.99999706696249,25.280926430420585
2020-04-02 03:00:00,54.717993759755004,39.9999970676258,25.282009185625274
2020-04-02 04:00:00,54.716911083577386,39.999997068286895,25.283091861181042
2020-04-02 05:00:00,54.71582848704298,39.9999970689609,25.284174457093748
2020-04-02 06:00:00,54.71474597014591,39.999997069621685,25.28525697336925
2020-04-02 07:00:00,54.71366353288034,39.99999707029541,25.286339410013408
2020-04-02 08:00:00,54.712581175240395,39.99999707098783,25.28742176703208
2020-04-02 09:00:00,54.71149889722023,39.99999707164818,25.288504044431118
2020-04-02 10:00:00,54.71041669881398,39.99999707232147,25.289586242216387
2020-04-02 11:00:00,54.70933457996803,39.9999970730293,25.29066836039374
2020-04-02 12:00:00,54.70825254077206,39.99999707370228,25.291750398969036
2020-04-02 13:00:00,54.70717058117246,39.99999707444743,25.292832357948132
2020-04-02 14:00:00,54.706088701163324,39.99999707512012,25.293914237336885
2020-04-02 15:00:00,54.70500690073885,39.999997075792656,25.29499603714114
2020-04-02 16:00:00,54.703925179893155,39.99999707645196,25.296077757366746
2020-04-02 17:00:00,54.7028435386204,39.999997077124206,25.29715939801957
2020-04-02 18:00:00,54.7017619769147,39.99999707787088,25.298240959105478
2020-04-02 19:00:00,54.70068049477025,39.999997078542826,25.299322440630295
2020-04-02 20:00:00,54.69959909218117,39.999997079201556,25.30040384259988
2020-04-02 21:00:00,54.698517769141596,39.99999707986012,25.301485165020093
2020-04-02 22:00:00,54.697436525645685,39.99999708053165,25.30256640789678
2020-04-02 23:00:00,54.69635536168759,39.99999708118997,25.303647571235796
2020-04-03 00:00:00,54.695274277261454,39.99999708186121,25.304728655042993
2020-04-03 01:00:00,54.69419327237798,39.9999970824931,25.305809659324215
2020-04-03 02:00:00,54.693112346998234,39.99999708315099,25.306890584085313
2020-04-03 03:00:00,54.69203150113288,39.99999708382181,25.307971429332145
2020-04-03 04:00:00,54.6909507347761,39.9999970844794,25.30905219507055
2020-04-03 05:00:00,54.689870047922035,39.999997085149936,25.310132881306387
2020-04-03 06:00:00,54.688789440564854,39.99999708585955,25.3112134880455
2020-04-03 07:00:00,54.687708912698696,39.9999970865167,25.31229401529373
2020-04-03 08:00:00,54.6866284643177,39.9999970871868,25.313374463056935
2020-04-03 09:00:00,54.685548095416024,39.99999708786156,25.314454831340957
2020-04-03 10:00:00,54.68446780598784,39.99999708853136,25.315535120151644
2020-04-03 11:00:00,54.683387596027295,39.99999708922237,25.31661532949484
2020-04-03 12:00:00,54.6823074655503,39.999997089870114,25.317695459376402
2020-04-03 13:00:00,54.68122741450748,39.99999709054429,25.318775509802155
2020-04-03 14:00:00,54.68014744291475,39.99999709120044,25.319855480777957
2020-04-03 15:00:00,54.67906755076628,39.99999709186953,25.32093537230965
2020-04-03 16:00:00,54.67798773804029,39.99999709254132,25.322015184403075
2020-04-03 17:00:00,54.67690800476279,39.99999709321012,25.323094917064083
2020-04-03 18:00:00,54.675828350912006,39.99999709392628,25.32417457029851
2020-04-03 19:00:00,54.67474877648211,39.99999709458171,25.325254144112208
2020-04-03 20:00:00,54.67366928146725,39.99999709525008,25.326333638511006
2020-04-03 21:00:00,54.672589865861575,39.9999970959231,25.327413053500752
2020-04-03 22:00:00,54.67151052965927,39.99999709659117,25.32849238908729
2020-04-03 23:00:00,54.670431272854486,39.999997097280435,25.329571645276463
2020-04-04 00:00:00,54.66935209544133,39.99999709793517,25.3306508220741
2020-04-04 01:00:00,54.66827299741404,39.99999709860282,25.331729919486055
2020-04-04 02:00:00,54.66719397876673,39.999997099283384,25.33280893751816
2020-04-04 03:00:00,54.6661150394936,39.99999709995073,25.333887876176252
2020-04-04 04:00:00,54.66503617958879,39.99999710063101,25.334966735466175
2020-04-04 05:00:00,54.663957399046424,39.999997101298085,25.33604551539377
2020-04-04 06:00:00,54.66287869786071,39.99999710197807,25.33712421596487
2020-04-04 07:00:00,54.661800076025806,39.99999710263176,25.338202837185307
2020-04-04 08:00:00,54.660721533535856,39.9999971032984,25.339281379060928
2020-04-04 09:00:00,54.65964307038502,39.99999710397794,25.340359841597564
2020-04-04 10:00:00,54.65856468656748,39.99999710464429,25.341438224801063
2020-04-04 11:00:00,54.65748638207742,39.9999971052843,25.34251652867724
