 TIME                                   ,T_R                                     ,
  +2.2210000000000000E+03,  +4.3524999999999999E+01,
  +2.2220000000000000E+03,  +4.8566000000000003E+01,
  +2.2230000000000000E+03,  +5.1049999999999997E+01,
  +2.2240000000000000E+03,  +5.2387999999999998E+01,
  +2.2250000000000000E+03,  +5.3143999999999998E+01,
  +2.2260000000000000E+03,  +5.3588000000000001E+01,
  +2.2270000000000000E+03,  +5.3871000000000002E+01,
  +2.2280000000000000E+03,  +5.2390000000000001E+01,
  +2.2290000000000000E+03,  +5.0899999999999999E+01,
  +2.2300000000000000E+03,  +4.9771999999999998E+01,
  +2.2310000000000000E+03,  +4.8853000000000002E+01,
  +2.2320000000000000E+03,  +5.2023000000000003E+01,
  +2.2330000000000000E+03,  +5.1231999999999999E+01,
  +2.2340000000000000E+03,  +5.0387999999999998E+01,
  +2.2350000000000000E+03,  +4.9423999999999999E+01,
  +2.2360000000000000E+03,  +4.8195999999999998E+01,
  +2.2370000000000000E+03,  +4.6521000000000001E+01,
  +2.2380000000000000E+03,  +4.4448999999999998E+01,
  +2.2390000000000000E+03,  +4.2473999999999997E+01,
  +2.2400000000000000E+03,  +4.0597999999999999E+01,
  +2.2410000000000000E+03,  +3.8877000000000002E+01,
  +2.2420000000000000E+03,  +3.7265999999999998E+01,
  +2.2430000000000000E+03,  +3.5750000000000000E+01,
  +2.2440000000000000E+03,  +3.4252000000000002E+01,
  +2.2450000000000000E+03,  +4.4667000000000002E+01,
  +2.2460000000000000E+03,  +4.9317999999999998E+01,
  +2.2470000000000000E+03,  +4.6771999999999998E+01,
  +2.2480000000000000E+03,  +5.0390999999999998E+01,
  +2.2490000000000000E+03,  +5.2145000000000003E+01,
  +2.2500000000000000E+03,  +5.0124000000000002E+01,
  +2.2510000000000000E+03,  +5.2093000000000004E+01,
  +2.2520000000000000E+03,  +5.0314999999999998E+01,
  +2.2530000000000000E+03,  +4.8738999999999997E+01,
  +2.2540000000000000E+03,  +4.7630000000000003E+01,
  +2.2550000000000000E+03,  +4.6774000000000001E+01,
  +2.2560000000000000E+03,  +4.6164999999999999E+01,
  +2.2570000000000000E+03,  +5.0863000000000000E+01,
  +2.2580000000000000E+03,  +5.0104999999999997E+01,
  +2.2590000000000000E+03,  +4.9268999999999998E+01,
  +2.2600000000000000E+03,  +4.8231000000000002E+01,
  +2.2610000000000000E+03,  +4.6875000000000000E+01,
  +2.2620000000000000E+03,  +4.5261000000000003E+01,
  +2.2630000000000000E+03,  +4.3725000000000001E+01,
  +2.2640000000000000E+03,  +4.2277000000000001E+01,
  +2.2650000000000000E+03,  +4.0963000000000001E+01,
  +2.2660000000000000E+03,  +3.9737000000000002E+01,
  +2.2670000000000000E+03,  +3.8591000000000001E+01,
  +2.2680000000000000E+03,  +3.7462000000000003E+01,
  +2.2690000000000000E+03,  +3.6290999999999997E+01,
  +2.2700000000000000E+03,  +4.5918999999999997E+01,
  +2.2710000000000000E+03,  +4.3786000000000001E+01,
  +2.2720000000000000E+03,  +4.1853999999999999E+01,
  +2.2730000000000000E+03,  +4.0052999999999997E+01,
  +2.2740000000000000E+03,  +3.8341000000000001E+01,
  +2.2750000000000000E+03,  +3.6731999999999999E+01,
  +2.2760000000000000E+03,  +3.5262999999999998E+01,
  +2.2770000000000000E+03,  +3.4000999999999998E+01,
  +2.2780000000000000E+03,  +3.3125999999999998E+01,
  +2.2790000000000000E+03,  +3.2463999999999999E+01,
