 TIME                                   ,p_heat                                  ,m_flow                                  ,
  +2.1120000000000000E+03,  +1.1766000000000000E+01,  +7.0000000000000000E+02,
  +2.1130000000000000E+03,  +8.4480000000000004E+00,  +7.0000000000000000E+02,
  +2.1140000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1150000000000000E+03,  +7.0620000000000003E+00,  +7.0000000000000000E+02,
  +2.1160000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1170000000000000E+03,  +6.9829999999999997E+00,  +7.0000000000000000E+02,
  +2.1180000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1190000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1200000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1210000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1220000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1230000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1240000000000000E+03,  +1.4986000000000001E+01,  +7.0000000000000000E+02,
  +2.1250000000000000E+03,  +1.1504000000000000E+01,  +7.0000000000000000E+02,
  +2.1260000000000000E+03,  +8.9730000000000008E+00,  +7.0000000000000000E+02,
  +2.1270000000000000E+03,  +7.3090000000000002E+00,  +7.0000000000000000E+02,
  +2.1280000000000000E+03,  +6.2850000000000001E+00,  +7.0000000000000000E+02,
  +2.1290000000000000E+03,  +5.6740000000000004E+00,  +7.0000000000000000E+02,
  +2.1300000000000000E+03,  +5.3129999999999997E+00,  +7.0000000000000000E+02,
  +2.1310000000000000E+03,  +5.0650000000000004E+00,  +7.0000000000000000E+02,
  +2.1320000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1330000000000000E+03,  +6.2020000000000000E+00,  +7.0000000000000000E+02,
  +2.1340000000000000E+03,  +5.0010000000000003E+00,  +7.0000000000000000E+02,
  +2.1350000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1360000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1370000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1380000000000000E+03,  +6.7119999999999997E+00,  +7.0000000000000000E+02,
  +2.1390000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1400000000000000E+03,  +6.4240000000000004E+00,  +7.0000000000000000E+02,
  +2.1410000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1420000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1430000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1440000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1450000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1460000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1470000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1480000000000000E+03,  +1.6649999999999999E+01,  +7.0000000000000000E+02,
  +2.1490000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1500000000000000E+03,  +1.4023999999999999E+01,  +7.0000000000000000E+02,
  +2.1510000000000000E+03,  +1.0954000000000001E+01,  +7.0000000000000000E+02,
  +2.1520000000000000E+03,  +8.8079999999999998E+00,  +7.0000000000000000E+02,
  +2.1530000000000000E+03,  +7.4169999999999998E+00,  +7.0000000000000000E+02,
  +2.1540000000000000E+03,  +6.5330000000000004E+00,  +7.0000000000000000E+02,
