 TIME                                   ,T_R                                     ,
  +2.2210000000000000E+03,  +4.1835427705271506E+01,
  +2.2220000000000000E+03,  +4.9096280267478093E+01,
  +2.2230000000000000E+03,  +5.1596858177033027E+01,
  +2.2240000000000000E+03,  +5.2835832236116396E+01,
  +2.2250000000000000E+03,  +5.3500347596153780E+01,
  +2.2260000000000000E+03,  +5.3860514660259810E+01,
  +2.2270000000000000E+03,  +5.4066237083205124E+01,
  +2.2280000000000000E+03,  +5.3452759845957495E+01,
  +2.2290000000000000E+03,  +5.2136796134199813E+01,
  +2.2300000000000000E+03,  +5.0891036038990705E+01,
  +2.2310000000000000E+03,  +4.9866219735860064E+01,
  +2.2320000000000000E+03,  +5.1661564134907486E+01,
  +2.2330000000000000E+03,  +5.2569283144863050E+01,
  +2.2340000000000000E+03,  +5.1702129446194860E+01,
  +2.2350000000000000E+03,  +5.0754471462146718E+01,
  +2.2360000000000000E+03,  +4.9613105469527817E+01,
  +2.2370000000000000E+03,  +4.8106337642406700E+01,
  +2.2380000000000000E+03,  +4.6183500104026656E+01,
  +2.2390000000000000E+03,  +4.4166006970509116E+01,
  +2.2400000000000000E+03,  +4.2251705182906143E+01,
  +2.2410000000000000E+03,  +4.0470361855644583E+01,
  +2.2420000000000000E+03,  +3.8817255704704465E+01,
  +2.2430000000000000E+03,  +3.7264821288711815E+01,
  +2.2440000000000000E+03,  +3.5761729465205391E+01,
  +2.2450000000000000E+03,  +4.3075163897504225E+01,
  +2.2460000000000000E+03,  +4.9830663153873438E+01,
  +2.2470000000000000E+03,  +4.9647317633714657E+01,
  +2.2480000000000000E+03,  +5.0607001348282608E+01,
  +2.2490000000000000E+03,  +5.2604823284236609E+01,
  +2.2500000000000000E+03,  +5.2068060341684728E+01,
  +2.2510000000000000E+03,  +5.2379349762016339E+01,
  +2.2520000000000000E+03,  +5.2088906317819330E+01,
  +2.2530000000000000E+03,  +5.0528766887712891E+01,
  +2.2540000000000000E+03,  +4.9258636043311931E+01,
  +2.2550000000000000E+03,  +4.8302441862189042E+01,
  +2.2560000000000000E+03,  +4.7583627427490406E+01,
  +2.2570000000000000E+03,  +5.0497768894685478E+01,
  +2.2580000000000000E+03,  +5.2023157126675081E+01,
  +2.2590000000000000E+03,  +5.1148027382889893E+01,
  +2.2600000000000000E+03,  +5.0131179562857390E+01,
  +2.2610000000000000E+03,  +4.8854109126832547E+01,
  +2.2620000000000000E+03,  +4.7310226354710217E+01,
  +2.2630000000000000E+03,  +4.5727616014004823E+01,
  +2.2640000000000000E+03,  +4.4243863534552389E+01,
  +2.2650000000000000E+03,  +4.2877878976838389E+01,
  +2.2660000000000000E+03,  +4.1619419685490449E+01,
  +2.2670000000000000E+03,  +4.0442297506499237E+01,
  +2.2680000000000000E+03,  +3.9308604820073207E+01,
  +2.2690000000000000E+03,  +3.8158269852603681E+01,
  +2.2700000000000000E+03,  +4.4720101618591222E+01,
  +2.2710000000000000E+03,  +4.7343971323874641E+01,
  +2.2720000000000000E+03,  +4.4779647324677320E+01,
  +2.2730000000000000E+03,  +4.2609255187224051E+01,
  +2.2740000000000000E+03,  +4.0736444501483497E+01,
  +2.2750000000000000E+03,  +3.9075362258865965E+01,
  +2.2760000000000000E+03,  +3.7583749975611347E+01,
  +2.2770000000000000E+03,  +3.6272352800974751E+01,
  +2.2780000000000000E+03,  +3.5251958590742682E+01,
  +2.2790000000000000E+03,  +3.4507801832846837E+01,
