 TIME                                   ,T_M                                     ,
 HOURS              ,"°C"                ,
  +2.2210000000000000E+03,  +4.4518453408563168E+01,
  +2.2220000000000000E+03,  +5.2091648883400318E+01,
  +2.2230000000000000E+03,  +5.6675308435791557E+01,
  +2.2240000000000000E+03,  +5.9274376994808186E+01,
  +2.2250000000000000E+03,  +6.0693300505288597E+01,
  +2.2260000000000000E+03,  +6.1454858611765673E+01,
  +2.2270000000000000E+03,  +6.1885694521126730E+01,
  +2.2280000000000000E+03,  +6.0798531182546547E+01,
  +2.2290000000000000E+03,  +5.8748471318819959E+01,
  +2.2300000000000000E+03,  +5.7136841266779918E+01,
  +2.2310000000000000E+03,  +5.5949131400238578E+01,
  +2.2320000000000000E+03,  +5.5011875137821001E+01,
  +2.2330000000000000E+03,  +5.4147276126000399E+01,
  +2.2340000000000000E+03,  +5.6550810628045063E+01,
  +2.2350000000000000E+03,  +5.7637982405960223E+01,
  +2.2360000000000000E+03,  +5.6342342634192768E+01,
  +2.2370000000000000E+03,  +5.4641668531543552E+01,
  +2.2380000000000000E+03,  +5.2485912018364481E+01,
  +2.2390000000000000E+03,  +5.0262546824107886E+01,
  +2.2400000000000000E+03,  +4.8202552523942870E+01,
  +2.2410000000000000E+03,  +4.6326568025950159E+01,
  +2.2420000000000000E+03,  +4.4617681093303759E+01,
  +2.2430000000000000E+03,  +4.3035279759286574E+01,
  +2.2440000000000000E+03,  +4.1517301757527129E+01,
  +2.2450000000000000E+03,  +4.6603690972309870E+01,
  +2.2460000000000000E+03,  +5.3514909597888078E+01,
  +2.2470000000000000E+03,  +5.4411660022236255E+01,
  +2.2480000000000000E+03,  +5.6009448107380202E+01,
  +2.2490000000000000E+03,  +5.8917304272208220E+01,
  +2.2500000000000000E+03,  +5.8495161390209852E+01,
  +2.2510000000000000E+03,  +5.8916572616747771E+01,
  +2.2520000000000000E+03,  +5.8548369975004114E+01,
  +2.2530000000000000E+03,  +5.6605329509536013E+01,
  +2.2540000000000000E+03,  +5.5108218395824785E+01,
  +2.2550000000000000E+03,  +5.4031758114091737E+01,
  +2.2560000000000000E+03,  +5.3245627101990600E+01,
  +2.2570000000000000E+03,  +5.6049932784105600E+01,
  +2.2580000000000000E+03,  +5.7545327702754726E+01,
  +2.2590000000000000E+03,  +5.6706455115663879E+01,
  +2.2600000000000000E+03,  +5.5700541271462122E+01,
  +2.2610000000000000E+03,  +5.4385924124923662E+01,
  +2.2620000000000000E+03,  +5.2739845856383774E+01,
  +2.2630000000000000E+03,  +5.1026654686822816E+01,
  +2.2640000000000000E+03,  +4.9424681605065928E+01,
  +2.2650000000000000E+03,  +4.7966885120347207E+01,
  +2.2660000000000000E+03,  +4.6643112812050141E+01,
  +2.2670000000000000E+03,  +4.5420887934145128E+01,
  +2.2680000000000000E+03,  +4.4255779644426461E+01,
  +2.2690000000000000E+03,  +4.3080739666718898E+01,
  +2.2700000000000000E+03,  +4.7988078114541423E+01,
  +2.2710000000000000E+03,  +5.0258809264888633E+01,
  +2.2720000000000000E+03,  +4.8610581468572541E+01,
  +2.2730000000000000E+03,  +4.6984946311544178E+01,
  +2.2740000000000000E+03,  +4.5355039311584243E+01,
  +2.2750000000000000E+03,  +4.3744847548064818E+01,
  +2.2760000000000000E+03,  +4.2216792006028896E+01,
  +2.2770000000000000E+03,  +4.0852808457502853E+01,
  +2.2780000000000000E+03,  +3.9800463485931196E+01,
  +2.2790000000000000E+03,  +3.9046254628627672E+01,
