 TIME                                   ,T_M                                     ,
 HOURS              ,"°C"                ,
  +2.2210000000000000E+03,  +4.5182920128408469E+01,
  +2.2220000000000000E+03,  +5.3184937006068836E+01,
  +2.2230000000000000E+03,  +6.0040165259027113E+01,
  +2.2240000000000000E+03,  +6.4982801108955471E+01,
  +2.2250000000000000E+03,  +6.4988035554055969E+01,
  +2.2260000000000000E+03,  +6.4991676907169364E+01,
  +2.2270000000000000E+03,  +6.4994210022378681E+01,
  +2.2280000000000000E+03,  +6.2476382657946559E+01,
  +2.2290000000000000E+03,  +6.0001698176815864E+01,
  +2.2300000000000000E+03,  +5.8102800275220808E+01,
  +2.2310000000000000E+03,  +5.6520549087274048E+01,
  +2.2320000000000000E+03,  +6.1902009025883544E+01,
  +2.2330000000000000E+03,  +6.0742300852277580E+01,
  +2.2340000000000000E+03,  +5.9449165194998393E+01,
  +2.2350000000000000E+03,  +5.7897295561547061E+01,
  +2.2360000000000000E+03,  +5.5790860863439399E+01,
  +2.2370000000000000E+03,  +5.2666590983142342E+01,
  +2.2380000000000000E+03,  +4.8619385519605274E+01,
  +2.2390000000000000E+03,  +4.6639740907688200E+01,
  +2.2400000000000000E+03,  +4.4719593744887028E+01,
  +2.2410000000000000E+03,  +4.2969239227997036E+01,
  +2.2420000000000000E+03,  +4.1372504651957740E+01,
  +2.2430000000000000E+03,  +3.9904091552551556E+01,
  +2.2440000000000000E+03,  +3.8416525462864882E+01,
  +2.2450000000000000E+03,  +4.7089076605225117E+01,
  +2.2460000000000000E+03,  +5.4854734412743390E+01,
  +2.2470000000000000E+03,  +5.1767149738690200E+01,
  +2.2480000000000000E+03,  +5.7974647803718355E+01,
  +2.2490000000000000E+03,  +6.3273693914181663E+01,
  +2.2500000000000000E+03,  +6.0409625678053601E+01,
  +2.2510000000000000E+03,  +6.4314927931910873E+01,
  +2.2520000000000000E+03,  +6.1639556331763011E+01,
  +2.2530000000000000E+03,  +5.9041012169665869E+01,
  +2.2540000000000000E+03,  +5.7101644819731334E+01,
  +2.2550000000000000E+03,  +5.5537016634550305E+01,
  +2.2560000000000000E+03,  +5.4389668032676994E+01,
  +2.2570000000000000E+03,  +6.0904741694497183E+01,
  +2.2580000000000000E+03,  +5.9894521408569219E+01,
  +2.2590000000000000E+03,  +5.8692969930341832E+01,
  +2.2600000000000000E+03,  +5.7067278955393050E+01,
  +2.2610000000000000E+03,  +5.4719983362956754E+01,
  +2.2620000000000000E+03,  +5.1623228976608637E+01,
  +2.2630000000000000E+03,  +4.8416135478355578E+01,
  +2.2640000000000000E+03,  +4.6589173984407687E+01,
