index,py_P_elec,py_P_heat_65,py_P_heat_50,py_P_heat_45,py_COP_65,py_COP_50,py_COP_45,py_V_65,py_V_50,py_V_45,py_V_total,py_T_return,py_P_heat_total
43,1.876,0.000,4.896,0.000,1.800,2.610,2.950,0.000,0.000,0.000,0.000,37.460,4.896
44,1.900,0.000,4.656,0.000,1.690,2.450,2.770,0.000,0.000,0.000,0.000,40.000,4.656
45,2.496,4.144,0.000,0.000,1.660,2.410,2.720,0.000,0.000,0.000,0.000,40.760,4.144
46,1.865,3.040,0.000,0.000,1.630,2.370,2.670,0.000,0.000,0.000,0.000,41.480,3.040
47,1.580,2.528,0.000,0.000,1.600,2.320,2.630,0.000,0.000,0.000,0.000,42.210,2.528
48,1.518,2.384,0.000,0.000,1.570,2.280,2.580,0.000,0.000,0.000,0.000,42.910,2.384
49,1.579,2.448,0.000,0.000,1.550,2.250,2.550,0.000,0.000,0.000,0.000,43.420,2.448
50,2.462,2.528,0.000,2.084,1.540,2.240,2.540,0.000,0.000,1.310,1.310,43.630,4.612
51,6.383,9.893,0.000,0.000,1.550,2.240,2.540,0.290,0.000,1.310,1.600,43.600,9.893
52,0.000,0.000,0.000,0.000,1.550,2.250,2.550,0.166,0.000,1.310,1.476,43.490,0.000
53,0.000,0.000,0.000,0.000,1.550,2.250,2.550,0.000,0.000,1.310,1.310,43.460,0.000
54,6.526,10.021,0.000,0.155,1.550,2.240,2.540,0.195,0.000,1.405,1.600,43.590,10.176
55,0.136,0.000,0.000,0.347,1.550,2.250,2.550,0.000,0.000,1.600,1.600,43.470,0.347
56,2.935,4.784,0.000,0.000,1.630,2.360,2.670,0.000,0.000,1.600,1.600,41.500,4.784
57,1.838,0.000,4.576,0.000,1.710,2.490,2.810,0.000,0.000,1.600,1.600,39.460,4.576
58,1.636,0.000,4.384,0.000,1.840,2.680,3.020,0.000,0.000,1.600,1.600,36.460,4.384
59,1.519,0.000,4.192,0.000,1.910,2.760,3.110,0.000,0.000,1.600,1.600,35.110,4.192
60,1.289,0.000,0.000,4.112,1.960,2.840,3.190,0.000,0.000,1.600,1.600,34.030,4.112
61,0.000,0.000,0.000,0.000,2.000,2.900,3.260,0.000,0.000,1.296,1.296,33.140,0.000
62,0.000,0.000,0.000,0.000,2.040,2.940,3.310,0.000,0.000,0.999,0.999,32.500,0.000
63,0.000,0.000,0.000,0.000,2.050,2.960,3.330,0.000,0.000,0.698,0.698,32.190,0.000
64,0.000,0.000,0.000,0.000,2.050,2.960,3.330,0.000,0.000,0.384,0.384,32.250,0.000
65,0.000,0.000,0.000,0.000,2.030,2.930,3.290,0.000,0.000,0.048,0.048,32.690,0.000
66,1.315,0.000,0.000,4.236,1.970,2.860,3.220,0.000,0.000,0.000,0.000,33.700,4.236
67,1.811,0.000,4.816,0.000,1.830,2.660,3.000,0.000,0.000,0.000,0.000,36.630,4.816
68,1.844,0.000,4.592,0.000,1.710,2.490,2.810,0.000,0.000,0.000,0.000,39.360,4.592
69,2.438,4.096,0.000,0.000,1.680,2.440,2.760,0.000,0.000,0.000,0.000,40.200,4.096
70,1.823,3.008,0.000,0.000,1.650,2.400,2.710,0.000,0.000,0.000,0.000,40.960,3.008
71,1.550,2.496,0.000,0.000,1.610,2.350,2.650,0.000,0.000,0.000,0.000,41.830,2.496
72,1.296,2.048,0.000,0.000,1.580,2.300,2.600,0.000,0.000,0.000,0.000,42.680,2.048
73,9.218,12.765,0.000,2.805,1.570,2.280,2.580,0.416,0.000,1.184,1.600,42.960,15.570
74,0.000,0.000,0.000,0.000,1.580,2.300,2.600,0.332,0.000,1.184,1.516,42.620,0.000
75,0.000,0.000,0.000,0.000,1.600,2.320,2.630,0.243,0.000,1.184,1.427,42.190,0.000
76,0.000,0.000,0.000,0.000,1.610,2.340,2.640,0.140,0.000,1.184,1.324,41.940,0.000
77,0.000,0.000,0.000,0.000,1.600,2.320,2.630,0.000,0.000,1.184,1.184,42.220,0.000
78,2.898,4.608,0.000,0.000,1.590,2.300,2.610,0.000,0.000,1.184,1.184,42.540,4.608
79,3.182,4.352,0.000,1.112,1.580,2.290,2.600,0.000,0.000,1.600,1.600,42.700,5.464
80,2.634,4.240,0.000,0.000,1.610,2.340,2.640,0.000,0.000,1.600,1.600,41.960,4.240
81,1.633,0.000,4.016,0.000,1.690,2.460,2.780,0.000,0.000,1.600,1.600,39.860,4.016
82,1.438,0.000,3.824,0.000,1.830,2.660,3.000,0.000,0.000,1.600,1.600,36.690,3.824
83,1.317,0.000,3.648,0.000,1.910,2.770,3.120,0.000,0.000,1.600,1.600,35.030,3.648
84,1.120,0.000,0.000,3.584,1.960,2.850,3.200,0.000,0.000,1.600,1.600,33.900,3.584
85,0.000,0.000,0.000,0.000,2.010,2.910,3.270,0.000,0.000,1.337,1.337,33.020,0.000
86,0.000,0.000,0.000,0.000,2.040,2.950,3.320,0.000,0.000,1.078,1.078,32.410,0.000
87,0.000,0.000,0.000,0.000,2.050,2.960,3.330,0.000,0.000,0.814,0.814,32.200,0.000
88,0.000,0.000,0.000,0.000,2.040,2.950,3.320,0.000,0.000,0.533,0.533,32.370,0.000
89,0.000,0.000,0.000,0.000,2.020,2.920,3.280,0.000,0.000,0.234,0.234,32.810,0.000
90,0.373,0.000,0.000,1.205,1.980,2.870,3.230,0.000,0.000,0.000,0.000,33.530,1.205
91,1.559,0.000,4.304,0.000,1.900,2.760,3.110,0.000,0.000,0.000,0.000,35.190,4.304
92,1.540,0.000,4.080,0.000,1.830,2.650,2.990,0.000,0.000,0.000,0.000,36.830,4.080
93,1.386,0.000,3.632,0.000,1.800,2.620,2.950,0.000,0.000,0.000,0.000,37.360,3.632
94,1.015,0.000,2.640,0.000,1.790,2.600,2.930,0.000,0.000,0.000,0.000,37.620,2.640
95,2.352,0.000,5.616,0.537,1.780,2.590,2.920,0.000,0.245,0.064,0.309,37.800,6.153
96,5.614,0.000,8.542,6.762,1.780,2.590,2.920,0.000,0.727,0.873,1.600,37.800,15.304
97,0.689,0.000,1.792,0.000,1.790,2.600,2.930,0.000,0.727,0.873,1.600,37.640,1.792
98,0.717,0.000,1.872,0.000,1.800,2.610,2.940,0.000,0.727,0.873,1.600,37.510,1.872
99,0.788,0.000,2.064,0.000,1.800,2.620,2.950,0.000,0.727,0.873,1.600,37.360,2.064
100,0.518,0.000,0.000,1.534,1.800,2.620,2.960,0.000,0.556,1.044,1.600,37.290,1.534
101,1.296,0.000,3.408,0.000,1.810,2.630,2.960,0.000,0.556,1.044,1.600,37.230,3.408
102,0.000,0.000,0.000,0.000,1.810,2.620,2.960,0.000,0.271,1.044,1.315,37.250,0.000
103,1.686,0.000,0.000,4.990,1.810,2.620,2.960,0.000,0.000,1.600,1.600,37.270,4.990
104,1.448,0.000,3.824,0.000,1.820,2.640,2.980,0.000,0.000,1.600,1.600,37.040,3.824
105,1.336,0.000,3.568,0.000,1.840,2.670,3.010,0.000,0.000,1.600,1.600,36.520,3.568
106,1.222,0.000,3.360,0.000,1.900,2.750,3.100,0.000,0.000,1.600,1.600,35.300,3.360
107,0.983,0.000,0.000,3.184,1.990,2.880,3.240,0.000,0.000,1.600,1.600,33.360,3.184
108,0.000,0.000,0.000,0.000,2.050,2.960,3.330,0.000,0.000,1.389,1.389,32.210,0.000
109,0.000,0.000,0.000,0.000,2.080,3.010,3.380,0.000,0.000,1.182,1.182,31.590,0.000
110,0.000,0.000,0.000,0.000,2.100,3.030,3.410,0.000,0.000,0.975,0.975,31.210,0.000
111,0.000,0.000,0.000,0.000,2.100,3.040,3.410,0.000,0.000,0.756,0.756,31.180,0.000
112,0.000,0.000,0.000,0.000,2.090,3.020,3.390,0.000,0.000,0.525,0.525,31.390,0.000
113,0.000,0.000,0.000,0.000,2.060,2.980,3.340,0.000,0.000,0.272,0.272,32.040,0.000
114,0.055,0.000,0.000,0.179,2.000,2.900,3.260,0.000,0.000,0.000,0.000,33.180,0.179
115,1.414,0.000,3.904,0.000,1.910,2.760,3.110,0.000,0.000,0.000,0.000,35.130,3.904
116,1.444,0.000,3.712,0.000,1.770,2.570,2.900,0.000,0.000,0.000,0.000,38.110,3.712
117,1.306,0.000,3.264,0.000,1.720,2.500,2.820,0.000,0.000,0.000,0.000,39.260,3.264
118,0.939,0.000,2.320,0.000,1.700,2.470,2.790,0.000,0.000,0.000,0.000,39.760,2.320
119,0.738,0.000,1.824,0.000,1.700,2.470,2.790,0.000,0.000,0.000,0.000,39.800,1.824
120,0.605,0.000,1.488,0.000,1.690,2.460,2.780,0.000,0.000,0.000,0.000,39.900,1.488
121,0.933,1.568,0.000,0.000,1.680,2.440,2.760,0.000,0.000,0.000,0.000,40.180,1.568
122,0.993,1.648,0.000,0.000,1.660,2.420,2.740,0.000,0.000,0.000,0.000,40.550,1.648
123,1.132,1.856,0.000,0.000,1.640,2.390,2.700,0.000,0.000,0.000,0.000,41.050,1.856
124,1.442,2.336,0.000,0.000,1.620,2.360,2.670,0.000,0.000,0.000,0.000,41.540,2.336
125,1.958,3.152,0.000,0.000,1.610,2.330,2.640,0.000,0.000,0.000,0.000,42.030,3.152
126,4.187,3.872,0.000,4.515,1.580,2.300,2.600,0.000,0.000,1.600,1.600,42.570,8.387
127,2.314,3.680,0.000,0.000,1.590,2.310,2.620,0.000,0.000,1.600,1.600,42.360,3.680
128,1.384,0.000,3.488,0.000,1.730,2.520,2.840,0.000,0.000,1.600,1.600,38.940,3.488
129,1.199,0.000,3.200,0.000,1.840,2.670,3.020,0.000,0.000,1.600,1.600,36.470,3.200
130,0.805,0.000,0.000,2.610,1.990,2.880,3.240,0.000,0.000,1.572,1.572,33.430,2.610
131,0.000,0.000,0.000,0.000,2.090,3.020,3.390,0.000,0.000,1.392,1.392,31.460,0.000
132,0.000,0.000,0.000,0.000,2.160,3.110,3.490,0.000,0.000,1.231,1.231,30.140,0.000
133,0.000,0.000,0.000,0.000,2.210,3.190,3.570,0.000,0.000,1.076,1.076,29.120,0.000
134,0.000,0.000,0.000,0.000,2.260,3.240,3.640,0.000,0.000,0.922,0.922,28.350,0.000
135,0.000,0.000,0.000,0.000,2.280,3.280,3.670,0.000,0.000,0.764,0.764,27.870,0.000
136,0.000,0.000,0.000,0.000,2.290,3.290,3.690,0.000,0.000,0.599,0.599,27.740,0.000
137,0.000,0.000,0.000,0.000,2.280,3.270,3.670,0.000,0.000,0.424,0.424,27.990,0.000
138,0.000,0.000,0.000,0.000,2.230,3.210,3.600,0.000,0.000,0.233,0.233,28.820,0.000
139,0.000,0.000,0.000,0.000,2.070,2.990,3.360,0.000,0.000,0.000,0.000,31.780,0.000
140,1.080,0.000,0.000,3.392,1.920,2.790,3.140,0.000,0.000,0.000,0.000,34.740,3.392
141,1.094,0.000,2.976,0.000,1.870,2.720,3.060,0.000,0.000,0.000,0.000,35.790,2.976
142,0.779,0.000,2.080,0.000,1.840,2.670,3.010,0.000,0.000,0.000,0.000,36.480,2.080
143,0.606,0.000,1.600,0.000,1.810,2.640,2.970,0.000,0.000,0.000,0.000,37.080,1.600
144,0.437,0.000,1.136,0.000,1.790,2.600,2.940,0.000,0.000,0.000,0.000,37.610,1.136
145,0.467,0.000,1.200,0.000,1.770,2.570,2.900,0.000,0.000,0.000,0.000,38.080,1.200
146,0.496,0.000,1.264,0.000,1.750,2.550,2.880,0.000,0.000,0.000,0.000,38.440,1.264
147,0.563,0.000,1.424,0.000,1.740,2.530,2.860,0.000,0.000,0.000,0.000,38.690,1.424
148,0.717,0.000,1.808,0.000,1.740,2.520,2.850,0.000,0.000,0.000,0.000,38.850,1.808
149,0.959,0.000,2.416,0.000,1.730,2.520,2.840,0.000,0.000,0.000,0.000,38.970,2.416
150,5.623,0.000,5.652,9.541,1.730,2.510,2.830,0.000,0.215,1.385,1.600,39.070,15.193
151,0.549,0.000,0.000,1.570,1.740,2.530,2.860,0.000,0.000,1.600,1.600,38.700,1.570
152,1.005,0.000,2.672,0.000,1.830,2.660,2.990,0.000,0.000,1.600,1.600,36.780,2.672
153,0.760,0.000,0.000,2.432,1.960,2.840,3.200,0.000,0.000,1.600,1.600,33.960,2.432
154,0.000,0.000,0.000,0.000,2.140,3.080,3.460,0.000,0.000,1.465,1.465,30.530,0.000
155,0.000,0.000,0.000,0.000,2.270,3.260,3.660,0.000,0.000,1.356,1.356,28.100,0.000
156,0.000,0.000,0.000,0.000,2.360,3.380,3.780,0.000,0.000,1.258,1.258,26.590,0.000
157,0.000,0.000,0.000,0.000,2.430,3.470,3.880,0.000,0.000,1.162,1.162,25.460,0.000
158,0.000,0.000,0.000,0.000,2.480,3.530,3.950,0.000,0.000,1.067,1.067,24.620,0.000
159,0.000,0.000,0.000,0.000,2.510,3.570,3.990,0.000,0.000,0.967,0.967,24.140,0.000
160,0.000,0.000,0.000,0.000,2.510,3.580,3.990,0.000,0.000,0.864,0.864,24.080,0.000
161,0.000,0.000,0.000,0.000,2.480,3.540,3.960,0.000,0.000,0.753,0.753,24.500,0.000
162,0.000,0.000,0.000,0.000,2.410,3.440,3.850,0.000,0.000,0.630,0.630,25.760,0.000
163,0.000,0.000,0.000,0.000,2.250,3.230,3.620,0.000,0.000,0.486,0.486,28.490,0.000
164,0.000,0.000,0.000,0.000,2.120,3.060,3.440,0.000,0.000,0.328,0.328,30.810,0.000
165,0.000,0.000,0.000,0.000,2.100,3.030,3.410,0.000,0.000,0.185,0.185,31.210,0.000
166,0.000,0.000,0.000,0.000,2.070,3.000,3.370,0.000,0.000,0.081,0.081,31.740,0.000
167,0.006,0.000,0.000,0.020,2.040,2.950,3.320,0.000,0.000,0.000,0.000,32.360,0.020
