 TIME                                   ,T_R                                     ,
  +1.0900000000000000E+02,  +5.2207693409318580E+01,
  +1.1000000000000000E+02,  +5.3114823055853279E+01,
  +1.1100000000000000E+02,  +5.3585737733685924E+01,
  +1.1200000000000000E+02,  +5.3822549813362812E+01,
  +1.1300000000000000E+02,  +5.3937032709021295E+01,
  +1.1400000000000000E+02,  +5.3798189747372966E+01,
  +1.1500000000000000E+02,  +5.3576880476547231E+01,
  +1.1600000000000000E+02,  +5.3454993919789047E+01,
  +1.1700000000000000E+02,  +5.3445028571654319E+01,
  +1.1800000000000000E+02,  +5.3785983921878362E+01,
  +1.1900000000000000E+02,  +5.4141807106675330E+01,
  +1.2000000000000000E+02,  +5.4342545899338106E+01,
  +1.2100000000000000E+02,  +5.3923454812892139E+01,
  +1.2200000000000000E+02,  +5.3886548070817987E+01,
  +1.2300000000000000E+02,  +5.4233539067723854E+01,
  +1.2400000000000000E+02,  +5.4325322372677789E+01,
  +1.2500000000000000E+02,  +5.3368276182985689E+01,
  +1.2600000000000000E+02,  +5.2624090204064352E+01,
  +1.2700000000000000E+02,  +5.0741186662638320E+01,
  +1.2800000000000000E+02,  +4.7682894244224556E+01,
  +1.2900000000000000E+02,  +4.4709198010330333E+01,
  +1.3000000000000000E+02,  +4.1850186347299385E+01,
  +1.3100000000000000E+02,  +3.9185380767998907E+01,
  +1.3200000000000000E+02,  +4.4259746960181047E+01,
  +1.3300000000000000E+02,  +4.9339762061529569E+01,
  +1.3400000000000000E+02,  +5.1298022158781592E+01,
  +1.3500000000000000E+02,  +5.2286705235541348E+01,
  +1.3600000000000000E+02,  +5.2904805916508138E+01,
  +1.3700000000000000E+02,  +5.3204280531288944E+01,
  +1.3800000000000000E+02,  +5.3335553184204194E+01,
  +1.3900000000000000E+02,  +5.3352088552092020E+01,
  +1.4000000000000000E+02,  +5.3261471635129084E+01,
  +1.4100000000000000E+02,  +5.3228782996792845E+01,
  +1.4200000000000000E+02,  +5.2470919152729628E+01,
  +1.4300000000000000E+02,  +5.0942984764580615E+01,
  +1.4400000000000000E+02,  +5.1844612315550101E+01,
  +1.4500000000000000E+02,  +5.3281249904253293E+01,
  +1.4600000000000000E+02,  +5.3884266759041985E+01,
  +1.4700000000000000E+02,  +5.4203956820945280E+01,
  +1.4800000000000000E+02,  +5.4324940062502790E+01,
  +1.4900000000000000E+02,  +5.3442648383588292E+01,
  +1.5000000000000000E+02,  +5.0750629405142661E+01,
  +1.5100000000000000E+02,  +4.7263338650469287E+01,
  +1.5200000000000000E+02,  +4.3899381727179517E+01,
  +1.5300000000000000E+02,  +4.1073873868661487E+01,
  +1.5400000000000000E+02,  +4.5412729877806278E+01,
  +1.5500000000000000E+02,  +4.5711602242402222E+01,
  +1.5600000000000000E+02,  +4.2117443909231099E+01,
  +1.5700000000000000E+02,  +4.5887887275488751E+01,
  +1.5800000000000000E+02,  +4.6404986640597237E+01,
  +1.5900000000000000E+02,  +4.2841196322848610E+01,
  +1.6000000000000000E+02,  +3.9754153614004665E+01,
  +1.6100000000000000E+02,  +4.4331742914690444E+01,
  +1.6200000000000000E+02,  +4.3943089630049876E+01,
  +1.6300000000000000E+02,  +4.5743310762566601E+01,
  +1.6400000000000000E+02,  +4.4758116241277492E+01,
  +1.6500000000000000E+02,  +4.0584943601092007E+01,
  +1.6600000000000000E+02,  +4.5288151113904959E+01,
  +1.6700000000000000E+02,  +5.0676276439114979E+01,
  +1.6800000000000000E+02,  +5.2676731849253223E+01,
  +1.6900000000000000E+02,  +5.3642174799688327E+01,
  +1.7000000000000000E+02,  +5.4163424500071855E+01,
  +1.7100000000000000E+02,  +5.3916077258411669E+01,
  +1.7200000000000000E+02,  +5.2859266641787286E+01,
  +1.7300000000000000E+02,  +5.0834959158383704E+01,
  +1.7400000000000000E+02,  +4.7727178224361658E+01,
  +1.7500000000000000E+02,  +4.4236543827292280E+01,
  +1.7600000000000000E+02,  +4.1117765776736029E+01,
  +1.7700000000000000E+02,  +4.5229026481836456E+01,
  +1.7800000000000000E+02,  +4.5363255365452993E+01,
  +1.7900000000000000E+02,  +4.7312608833582793E+01,
  +1.8000000000000000E+02,  +5.0726821286215113E+01,
  +1.8100000000000000E+02,  +5.2243816085689332E+01,
  +1.8200000000000000E+02,  +5.2979948476124179E+01,
  +1.8300000000000000E+02,  +5.3390349605419622E+01,
  +1.8400000000000000E+02,  +5.3596924368843581E+01,
  +1.8500000000000000E+02,  +5.3674657193574632E+01,
  +1.8600000000000000E+02,  +5.3622657646358270E+01,
  +1.8700000000000000E+02,  +5.3529698010825847E+01,
  +1.8800000000000000E+02,  +5.1958536299416394E+01,
  +1.8900000000000000E+02,  +5.1707517624155180E+01,
  +1.9000000000000000E+02,  +5.2881665994861571E+01,
  +1.9100000000000000E+02,  +5.3713125281818371E+01,
  +1.9200000000000000E+02,  +5.4176932989219594E+01,
  +1.9300000000000000E+02,  +5.3898181457581991E+01,
  +1.9400000000000000E+02,  +5.3903486620463397E+01,
  +1.9500000000000000E+02,  +5.4264705573014041E+01,
  +1.9600000000000000E+02,  +5.3843189303209293E+01,
  +1.9700000000000000E+02,  +5.2428584749193384E+01,
  +1.9800000000000000E+02,  +4.9818375637517065E+01,
  +1.9900000000000000E+02,  +4.6562283720822627E+01,
  +2.0000000000000000E+02,  +4.3634687791075258E+01,
  +2.0100000000000000E+02,  +4.0936344086589699E+01,
  +2.0200000000000000E+02,  +4.5389944393959098E+01,
  +2.0300000000000000E+02,  +5.0061405347015103E+01,
  +2.0400000000000000E+02,  +5.1954468191130758E+01,
  +2.0500000000000000E+02,  +5.2979668137451647E+01,
  +2.0600000000000000E+02,  +5.3526295770243124E+01,
  +2.0700000000000000E+02,  +5.3876633272398223E+01,
  +2.0800000000000000E+02,  +5.4074738844467944E+01,
  +2.0900000000000000E+02,  +5.4162636367744469E+01,
  +2.1000000000000000E+02,  +5.3290661837737098E+01,
  +2.1100000000000000E+02,  +5.2992018677105371E+01,
  +2.1200000000000000E+02,  +5.3376108685369942E+01,
  +2.1300000000000000E+02,  +5.3611928390896978E+01,
  +2.1400000000000000E+02,  +5.3999204916229459E+01,
  +2.1500000000000000E+02,  +5.4372412887998138E+01,
  +2.1600000000000000E+02,  +5.4211663894795223E+01,
  +2.1700000000000000E+02,  +5.3611576189405589E+01,
  +2.1800000000000000E+02,  +5.2826905747572816E+01,
  +2.1900000000000000E+02,  +5.1796672320851570E+01,
  +2.2000000000000000E+02,  +5.0469138419208818E+01,
  +2.2100000000000000E+02,  +4.8590245599795161E+01,
  +2.2200000000000000E+02,  +4.5787361208098190E+01,
  +2.2300000000000000E+02,  +4.7868673565555532E+01,
  +2.2400000000000000E+02,  +4.7491117967212844E+01,
  +2.2500000000000000E+02,  +4.8940372127052591E+01,
  +2.2600000000000000E+02,  +5.1583691917553367E+01,
  +2.2700000000000000E+02,  +5.0889380916781683E+01,
  +2.2800000000000000E+02,  +5.1483874845166532E+01,
  +2.2900000000000000E+02,  +5.2995686567472063E+01,
  +2.3000000000000000E+02,  +5.3636554365192531E+01,
  +2.3100000000000000E+02,  +5.3994856670940621E+01,
  +2.3200000000000000E+02,  +5.4161558170764494E+01,
  +2.3300000000000000E+02,  +5.4165489659948420E+01,
  +2.3400000000000000E+02,  +5.3167660617655393E+01,
  +2.3500000000000000E+02,  +5.1107955451272545E+01,
  +2.3600000000000000E+02,  +4.8574604001287462E+01,
  +2.3700000000000000E+02,  +4.5880305723311352E+01,
  +2.3800000000000000E+02,  +4.3894718611198272E+01,
  +2.3900000000000000E+02,  +4.7927575547753030E+01,
  +2.4000000000000000E+02,  +4.9590463419138231E+01,
  +2.4100000000000000E+02,  +4.7755915640369302E+01,
  +2.4200000000000000E+02,  +4.6175843857926274E+01,
  +2.4300000000000000E+02,  +4.9226878463730017E+01,
  +2.4400000000000000E+02,  +5.0375416900707954E+01,
  +2.4500000000000000E+02,  +4.8115675484267243E+01,
  +2.4600000000000000E+02,  +4.9338468533754650E+01,
  +2.4700000000000000E+02,  +4.8654935614592063E+01,
  +2.4800000000000000E+02,  +4.5867578710545594E+01,
  +2.4900000000000000E+02,  +4.3589456586419828E+01,
  +2.5000000000000000E+02,  +4.1634165881547695E+01,
  +2.5100000000000000E+02,  +4.6219581105976083E+01,
  +2.5200000000000000E+02,  +4.7440730183092548E+01,
  +2.5300000000000000E+02,  +4.4621779260094002E+01,
  +2.5400000000000000E+02,  +4.2449995576010593E+01,
  +2.5500000000000000E+02,  +4.0573951944341509E+01,
  +2.5600000000000000E+02,  +4.5553993470535318E+01,
  +2.5700000000000000E+02,  +4.6542475678815926E+01,
  +2.5800000000000000E+02,  +4.8201405950234395E+01,
