 TIME                                   ,T_1                                     ,T_2                                     ,T_3                                     ,
  +1.9000000000000000E+02,  +6.2881665994861571E+01,  +6.0044716016704037E+01,  +5.6813342738535631E+01,
  +1.9100000000000000E+02,  +6.3713125281818371E+01,  +6.1575571623670882E+01,  +5.8559981689322733E+01,
  +1.9200000000000000E+02,  +6.4176932989219594E+01,  +6.2589338456754469E+01,  +5.9825662033533114E+01,
  +1.9300000000000000E+02,  +6.3898181457581991E+01,  +6.2154912897667508E+01,  +5.9018526029269154E+01,
  +1.9400000000000000E+02,  +6.3903486620463397E+01,  +6.2089072164796114E+01,  +5.9003091289753492E+01,
  +1.9500000000000000E+02,  +6.4264705573014041E+01,  +6.2794965136655392E+01,  +6.0066522828037371E+01,
  +1.9600000000000000E+02,  +6.3843189303209293E+01,  +6.2083129279826807E+01,  +5.8884689387029709E+01,
  +1.9700000000000000E+02,  +6.2428584749193384E+01,  +5.9884190120628709E+01,  +5.6212954251947203E+01,
  +1.9800000000000000E+02,  +5.9818375637517065E+01,  +5.6686160758629711E+01,  +5.3134974974745361E+01,
  +1.9900000000000000E+02,  +5.6562283720822627E+01,  +5.3229101929932639E+01,  +4.9845662517068767E+01,
  +2.0000000000000000E+02,  +5.3634687791075258E+01,  +5.0290503340578319E+01,  +4.6959767726014221E+01,
  +2.0100000000000000E+02,  +5.0936344086589699E+01,  +4.7603176882836102E+01,  +4.4275304946213829E+01,
  +2.0200000000000000E+02,  +5.5389944393959098E+01,  +4.9666351608305895E+01,  +4.5989282937081420E+01,
  +2.0300000000000000E+02,  +6.0061405347015103E+01,  +5.4450719053905921E+01,  +5.0576577108467511E+01,
  +2.0400000000000000E+02,  +6.1954468191130758E+01,  +5.7984066410842701E+01,  +5.4338535123753395E+01,
  +2.0500000000000000E+02,  +6.2979668137451647E+01,  +6.0078811476839242E+01,  +5.6746359196829076E+01,
  +2.0600000000000000E+02,  +6.3526295770243124E+01,  +6.1250175774579290E+01,  +5.8119087723370534E+01,
  +2.0700000000000000E+02,  +6.3876633272398223E+01,  +6.1986505370485276E+01,  +5.8998128145167193E+01,
  +2.0800000000000000E+02,  +6.4074738844467944E+01,  +6.2408419244182426E+01,  +5.9490122781012566E+01,
  +2.0900000000000000E+02,  +6.4162636367744469E+01,  +6.2598910021034570E+01,  +5.9699792384245548E+01,
  +2.1000000000000000E+02,  +6.3290661837737098E+01,  +6.1201516770508967E+01,  +5.7824916044579730E+01,
  +2.1100000000000000E+02,  +6.2992018677105371E+01,  +6.0467994503423505E+01,  +5.7086975986183290E+01,
  +2.1200000000000000E+02,  +6.3376108685369942E+01,  +6.1036967474512686E+01,  +5.7869173044112777E+01,
  +2.1300000000000000E+02,  +6.3611928390896978E+01,  +6.1497678153625181E+01,  +5.8382789126512201E+01,
  +2.1400000000000000E+02,  +6.3999204916229459E+01,  +6.2245581566497641E+01,  +5.9361231767428627E+01,
  +2.1500000000000000E+02,  +6.4372412887998138E+01,  +6.3051653988991085E+01,  +6.0471573027726521E+01,
  +2.1600000000000000E+02,  +6.4211663894795223E+01,  +6.2760158041223129E+01,  +5.9796911408440920E+01,
  +2.1700000000000000E+02,  +6.3611576189405589E+01,  +6.1626268772842742E+01,  +5.8069623781617231E+01,
  +2.1800000000000000E+02,  +6.2826905747572816E+01,  +6.0357284248454619E+01,  +5.6643820458698876E+01,
  +2.1900000000000000E+02,  +6.1796672320851570E+01,  +5.8943448847789696E+01,  +5.5265161863310702E+01,
  +2.2000000000000000E+02,  +6.0469138419208818E+01,  +5.7350376437921440E+01,  +5.3783883026965100E+01,
  +2.2100000000000000E+02,  +5.8590245599795161E+01,  +5.5317564186338565E+01,  +5.1879828730677410E+01,
  +2.2200000000000000E+02,  +5.5787361208098190E+01,  +5.2456664522171842E+01,  +4.9102170086558196E+01,
  +2.2300000000000000E+02,  +5.7868673565555532E+01,  +5.3158837343307816E+01,  +4.9696480403294110E+01,
  +2.2400000000000000E+02,  +5.7491117967212844E+01,  +5.2801121357171496E+01,  +4.9685327267209516E+01,
  +2.2500000000000000E+02,  +5.8940372127052591E+01,  +5.4245798279455073E+01,  +5.0908268882098824E+01,
  +2.2600000000000000E+02,  +6.1583691917553367E+01,  +5.7469749524579072E+01,  +5.3917128574350151E+01,
  +2.2700000000000000E+02,  +6.0889380916781683E+01,  +5.7298149084763374E+01,  +5.3911829556047245E+01,
  +2.2800000000000000E+02,  +6.1483874845166532E+01,  +5.7993617948596956E+01,  +5.4654118005976365E+01,
  +2.2900000000000000E+02,  +6.2995686567472063E+01,  +6.0124016752322092E+01,  +5.6862351662837121E+01,
  +2.3000000000000000E+02,  +6.3636554365192531E+01,  +6.1442666853597785E+01,  +5.8354877503457075E+01,
  +2.3100000000000000E+02,  +6.3994856670940621E+01,  +6.2222549259691171E+01,  +5.9301577506942429E+01,
  +2.3200000000000000E+02,  +6.4161558170764494E+01,  +6.2592071782398087E+01,  +5.9718083597013255E+01,
  +2.3300000000000000E+02,  +6.4165489659948420E+01,  +6.2606995888485550E+01,  +5.9678446949826522E+01,
  +2.3400000000000000E+02,  +6.3167660617655393E+01,  +6.1018100189989241E+01,  +5.7609050474252193E+01,
  +2.3500000000000000E+02,  +6.1107955451272545E+01,  +5.8190529478158908E+01,  +5.4537136907756611E+01,
  +2.3600000000000000E+02,  +5.8574604001287462E+01,  +5.5310115431507505E+01,  +5.1837931548023413E+01,
  +2.3700000000000000E+02,  +5.5880305723311352E+01,  +5.2537231779972473E+01,  +4.9175710139409041E+01,
  +2.3800000000000000E+02,  +5.3894718611198272E+01,  +5.0552173280165505E+01,  +4.7222414552687013E+01,
  +2.3900000000000000E+02,  +5.7927575547753030E+01,  +5.3043950760105155E+01,  +4.9312647220022484E+01,
  +2.4000000000000000E+02,  +5.9590463419138231E+01,  +5.4193882203219303E+01,  +5.0698852327293274E+01,
  +2.4100000000000000E+02,  +5.7755915640369302E+01,  +5.3031005346501885E+01,  +5.0073623548241102E+01,
  +2.4200000000000000E+02,  +5.6175843857926274E+01,  +5.1999872208148439E+01,  +4.9135452064242237E+01,
  +2.4300000000000000E+02,  +5.9226878463730017E+01,  +5.4591919044786358E+01,  +5.1112246517026890E+01,
  +2.4400000000000000E+02,  +6.0375416900707954E+01,  +5.5625224788220450E+01,  +5.2159849169611384E+01,
  +2.4500000000000000E+02,  +5.8115675484267243E+01,  +5.3971715145430309E+01,  +5.0917758891802954E+01,
